frame,0_x,0_y,0_z,0_v,11_x,11_y,11_z,11_v,12_x,12_y,12_z,12_v,13_x,13_y,13_z,13_v,14_x,14_y,14_z,14_v,15_x,15_y,15_z,15_v,16_x,16_y,16_z,16_v,17_x,17_y,17_z,17_v,18_x,18_y,18_z,18_v,23_x,23_y,23_z,23_v,24_x,24_y,24_z,24_v,25_x,25_y,25_z,25_v,26_x,26_y,26_z,26_v,27_x,27_y,27_z,27_v,28_x,28_y,28_z,28_v,29_x,29_y,29_z,29_v,30_x,30_y,30_z,30_v,31_x,31_y,31_z,31_v,32_x,32_y,32_z,32_v
0,0.5199310779571533,0.375413715839386,-0.09434874355792999,0.999984622001648,0.4824235141277313,0.4422897398471832,0.2816051244735718,0.9996935129165649,0.4047941565513611,0.424980491399765,-0.3585648238658905,0.9999821186065674,0.5205956101417542,0.5220380425453186,0.33607029914855957,0.3173516094684601,0.464236855506897,0.49571001529693604,-0.5516203045845032,0.9992703795433044,0.6190077066421509,0.5072689056396484,0.13659493625164032,0.7180307507514954,0.5957796573638916,0.49329841136932373,-0.5503684878349304,0.9988025426864624,0.6487115621566772,0.5057370066642761,0.11175569146871567,0.7238763570785522,0.628669023513794,0.49667757749557495,-0.6094676852226257,0.9967302083969116,0.4506344497203827,0.6332513689994812,0.1743403971195221,0.9994041919708252,0.3784835636615753,0.629976749420166,-0.17446568608283997,0.9993875026702881,0.4932413697242737,0.7757273316383362,0.16604366898536682,0.9640522599220276,0.3382130265235901,0.7827510833740234,-0.20144350826740265,0.9982174038887024,0.4990342855453491,0.9133337140083313,0.3346521556377411,0.9872216582298279,0.26398977637290955,0.9085766673088074,-0.10948814451694489,0.9983818531036377,0.4791882634162903,0.9428359866142273,0.34087464213371277,0.968058705329895,0.23392467200756073,0.9276509881019592,-0.10872746258974075,0.9703900814056396,0.5800491571426392,0.9475420117378235,0.2063363492488861,0.984099268913269,0.300290048122406,0.9591038227081299,-0.2989864945411682,0.9957600235939026
1,0.5126546025276184,0.37262752652168274,-0.15917782485485077,0.9999854564666748,0.4788128435611725,0.441998153924942,0.2732089161872864,0.9997069835662842,0.39993855357170105,0.4234713613986969,-0.36565613746643066,0.9999819397926331,0.5202817320823669,0.5216933488845825,0.29700562357902527,0.33925291895866394,0.4630884826183319,0.4957504868507385,-0.5889209508895874,0.999225378036499,0.619010329246521,0.5048523545265198,0.053202226758003235,0.7360399961471558,0.59039306640625,0.4893699288368225,-0.6222851276397705,0.998755931854248,0.6486536860466003,0.5028932094573975,0.017096437513828278,0.7395340204238892,0.6235403418540955,0.4925459027290344,-0.6862514019012451,0.9966292381286621,0.4490487277507782,0.6336079835891724,0.17491649091243744,0.9994126558303833,0.3768858015537262,0.6307888031005859,-0.17502948641777039,0.9994083642959595,0.4934884011745453,0.7755695581436157,0.23519575595855713,0.9649571180343628,0.33438220620155334,0.7833680510520935,-0.20376834273338318,0.998285710811615,0.49903687834739685,0.9133902788162231,0.4211345613002777,0.9872747659683228,0.2640222907066345,0.9106399416923523,-0.1332472413778305,0.9983906149864197,0.4781298041343689,0.9429600238800049,0.42854803800582886,0.9677411913871765,0.233848437666893,0.9296098947525024,-0.13566875457763672,0.9700113534927368,0.5800485014915466,0.9473093152046204,0.2981971502304077,0.9841708540916443,0.30451151728630066,0.9595947861671448,-0.335597425699234,0.9957823157310486
2,0.49171119928359985,0.3683903217315674,-0.18107561767101288,0.9999864101409912,0.46643757820129395,0.44244685769081116,0.2654975354671478,0.9997121691703796,0.3809664249420166,0.4232145845890045,-0.35433411598205566,0.9999805688858032,0.5208444595336914,0.5216508507728577,0.2754257619380951,0.3699661195278168,0.45860037207603455,0.48769891262054443,-0.6610758304595947,0.9991374611854553,0.6191678643226624,0.49450892210006714,0.05090172588825226,0.7521496415138245,0.5693994760513306,0.4649339020252228,-0.8091242909431458,0.9986627101898193,0.6484925150871277,0.48838379979133606,0.01881369948387146,0.7515660524368286,0.6035575866699219,0.4661283791065216,-0.8855481147766113,0.9963923096656799,0.43802410364151,0.6354978680610657,0.1749303936958313,0.9994297623634338,0.36597198247909546,0.6326530575752258,-0.17504650354385376,0.9994324445724487,0.4915756285190582,0.7755231261253357,0.23689982295036316,0.965547502040863,0.32832932472229004,0.7836360931396484,-0.19651465117931366,0.9983412623405457,0.49902987480163574,0.9134054780006409,0.41818439960479736,0.987278401851654,0.259658545255661,0.9122200608253479,-0.12253844738006592,0.9983999133110046,0.47737008333206177,0.9431060552597046,0.4255083203315735,0.9670661091804504,0.23168322443962097,0.9330663084983826,-0.12555065751075745,0.969721257686615,0.5802395939826965,0.9472748637199402,0.2912686765193939,0.9842899441719055,0.30467212200164795,0.9606395363807678,-0.3310719430446625,0.9957983493804932
3,0.48058584332466125,0.3671184182167053,-0.1923559308052063,0.9999873042106628,0.45837467908859253,0.4425646960735321,0.24608953297138214,0.9997251033782959,0.3663322329521179,0.42149990797042847,-0.33937352895736694,0.9999794363975525,0.520724892616272,0.5209732055664062,0.19813738763332367,0.4081842005252838,0.4436039924621582,0.4753851592540741,-0.6468676328659058,0.9990900754928589,0.6126872897148132,0.48444339632987976,-0.08734794706106186,0.7705174684524536,0.5519665479660034,0.4512825012207031,-0.7724257707595825,0.99859219789505,0.6408752799034119,0.47774791717529297,-0.13351698219776154,0.7669839262962341,0.5833959579467773,0.4509546756744385,-0.8435289859771729,0.9961811900138855,0.430047869682312,0.6356464624404907,0.17128895223140717,0.9994530081748962,0.3558245599269867,0.6329171657562256,-0.1714445799589157,0.9994584918022156,0.48844480514526367,0.775050938129425,0.2342255413532257,0.9659771919250488,0.32165631651878357,0.7841103076934814,-0.19106057286262512,0.9983739256858826,0.498935729265213,0.9134047031402588,0.4134843945503235,0.9871446490287781,0.2548249661922455,0.9142196774482727,-0.11900586634874344,0.9983593225479126,0.4766528010368347,0.9432081580162048,0.4209407866001129,0.9659667611122131,0.22955107688903809,0.9366337656974792,-0.12257758527994156,0.9682282209396362,0.5805513858795166,0.947205126285553,0.28634050488471985,0.9842663407325745,0.3049957752227783,0.9622901082038879,-0.32468944787979126,0.9957112669944763
4,0.4696706235408783,0.36681607365608215,-0.17103716731071472,0.9999882578849792,0.45087969303131104,0.44209080934524536,0.24328941106796265,0.9997395277023315,0.35602331161499023,0.4198019802570343,-0.32365742325782776,0.9999784827232361,0.5212699770927429,0.5124691724777222,0.2280607670545578,0.45170313119888306,0.408121794462204,0.46567317843437195,-0.6485296487808228,0.99903804063797,0.6130859851837158,0.4685961902141571,-0.008557702414691448,0.7888015508651733,0.510242760181427,0.4470321238040924,-0.819254457950592,0.9985373020172119,0.6413466334342957,0.46105989813804626,-0.04369153454899788,0.7821657657623291,0.5391238331794739,0.4441705048084259,-0.8917427062988281,0.9960176944732666,0.4222719967365265,0.6350979804992676,0.1674521118402481,0.9994767308235168,0.3467819094657898,0.6327065825462341,-0.16761422157287598,0.9994842410087585,0.48383477330207825,0.7744632959365845,0.22256769239902496,0.9658583998680115,0.3151457607746124,0.78410804271698,-0.19129988551139832,0.9983769059181213,0.49880608916282654,0.913395345211029,0.40574657917022705,0.9867724180221558,0.252178817987442,0.9152478575706482,-0.13047529757022858,0.9983033537864685,0.4764021635055542,0.9432816505432129,0.4184247851371765,0.9642517566680908,0.22826309502124786,0.9381948709487915,-0.13454501330852509,0.9670498967170715,0.580722987651825,0.9470803141593933,0.2821659743785858,0.9841206669807434,0.30497533082962036,0.9629572629928589,-0.3341709077358246,0.9956040978431702
5,0.4546177387237549,0.36106404662132263,-0.22850796580314636,0.9999892115592957,0.44311827421188354,0.4420970678329468,0.215898334980011,0.9997565150260925,0.3411349356174469,0.418958842754364,-0.33044829964637756,0.9999780058860779,0.5217207074165344,0.5025020837783813,0.1483512967824936,0.49738749861717224,0.36111485958099365,0.45810428261756897,-0.7015652656555176,0.9990021586418152,0.6053518056869507,0.44491657614707947,-0.1213899701833725,0.8067722320556641,0.47084012627601624,0.43490588665008545,-0.8941770195960999,0.9984532594680786,0.6352065205574036,0.42983412742614746,-0.16435253620147705,0.7978224158287048,0.49672508239746094,0.4268699884414673,-0.9700449705123901,0.9957231879234314,0.40927669405937195,0.6355536580085754,0.1658167541027069,0.99951171875,0.3299524784088135,0.6332948803901672,-0.1659841537475586,0.9995208382606506,0.47896304726600647,0.7744274735450745,0.23881420493125916,0.9663792848587036,0.30356940627098083,0.7842608094215393,-0.1864706426858902,0.9984040856361389,0.4977843761444092,0.9128633737564087,0.4339522421360016,0.9867340326309204,0.2499089241027832,0.9163092374801636,-0.09833863377571106,0.9982515573501587,0.47563204169273376,0.9431866407394409,0.4434514045715332,0.9635497331619263,0.22700068354606628,0.9399572014808655,-0.10013231635093689,0.9653976559638977,0.5808557271957397,0.9459314346313477,0.3013418912887573,0.9842413067817688,0.3050759434700012,0.9629546403884888,-0.3139760494232178,0.9954997301101685
6,0.4377633035182953,0.3584352433681488,-0.21887455880641937,0.9999900460243225,0.43224310874938965,0.4420982003211975,0.21220336854457855,0.999756932258606,0.3137896656990051,0.41906845569610596,-0.3223516345024109,0.9999772310256958,0.5206891298294067,0.4847424030303955,0.16513971984386444,0.538740873336792,0.31432387232780457,0.44985106587409973,-0.7110356688499451,0.999051034450531,0.5943372845649719,0.4217076301574707,-0.04582640156149864,0.8221004605293274,0.43047794699668884,0.41610631346702576,-0.9084905982017517,0.9984887838363647,0.6271899938583374,0.40302568674087524,-0.07684203237295151,0.8095784187316895,0.4623035788536072,0.4041687548160553,-0.9835420846939087,0.9956845045089722,0.39527082443237305,0.6351817846298218,0.15915435552597046,0.9995437264442444,0.314746230840683,0.633266806602478,-0.15926551818847656,0.9995545744895935,0.4703669250011444,0.7742043733596802,0.17618371546268463,0.9675588011741638,0.2930017113685608,0.7838834524154663,-0.1812434196472168,0.9984549880027771,0.496384859085083,0.9117222428321838,0.3304072320461273,0.986935555934906,0.25017598271369934,0.9164343476295471,-0.08395480364561081,0.998257577419281,0.47555240988731384,0.9411688446998596,0.33393508195877075,0.9638208746910095,0.2286362648010254,0.9392333030700684,-0.08643070608377457,0.9652723670005798,0.5807987451553345,0.9437999725341797,0.1785871386528015,0.9846471548080444,0.30510544776916504,0.9629108309745789,-0.3074904978275299,0.9955168962478638
7,0.4311695396900177,0.359086811542511,-0.24356715381145477,0.9999908208847046,0.42522484064102173,0.4415220618247986,0.21390873193740845,0.999758780002594,0.31003496050834656,0.4189482033252716,-0.3265252709388733,0.9999768733978271,0.520719051361084,0.48129698634147644,0.19758975505828857,0.5768847465515137,0.31257352232933044,0.4487435519695282,-0.7389419078826904,0.9990981817245483,0.597737193107605,0.4166615605354309,0.00565942982211709,0.8368954658508301,0.4306214153766632,0.4153684973716736,-0.9503676891326904,0.9985437393188477,0.6285222768783569,0.40012022852897644,-0.01319607999175787,0.8221372365951538,0.4600847065448761,0.4042833149433136,-1.0282189846038818,0.9957522749900818,0.3932730555534363,0.6349450945854187,0.1595996469259262,0.9995688796043396,0.3134486675262451,0.6332390308380127,-0.15969057381153107,0.9995841979980469,0.46716150641441345,0.7745357155799866,0.18104147911071777,0.9683637022972107,0.29155245423316956,0.7840170860290527,-0.18760402500629425,0.9985083937644958,0.4948256313800812,0.9113579392433167,0.3743760883808136,0.987041711807251,0.2499731034040451,0.9184820055961609,-0.09004534035921097,0.9982785582542419,0.47576531767845154,0.9406969547271729,0.38180649280548096,0.9641252756118774,0.22933898866176605,0.9399529099464417,-0.09193925559520721,0.9654332399368286,0.5807862281799316,0.9422486424446106,0.2294454127550125,0.984878659248352,0.30521219968795776,0.9628980159759521,-0.31365638971328735,0.9955390691757202
8,0.4272520840167999,0.35666942596435547,-0.22692610323429108,0.9999916553497314,0.4208291172981262,0.43782472610473633,0.21990209817886353,0.9997682571411133,0.3013628125190735,0.4189673662185669,-0.32648271322250366,0.9999769330024719,0.5198808312416077,0.4736095666885376,0.24918484687805176,0.6131598353385925,0.292191743850708,0.4437328577041626,-0.7482334971427917,0.9991410374641418,0.594862699508667,0.4077398478984833,0.13812066614627838,0.8515640497207642,0.4078042507171631,0.41263365745544434,-0.9730186462402344,0.9986010789871216,0.6214651465415955,0.3917790651321411,0.12770770490169525,0.8359336853027344,0.4367348849773407,0.40177032351493835,-1.0488755702972412,0.9958285689353943,0.3895794153213501,0.6344428658485413,0.16025403141975403,0.9995973706245422,0.310610830783844,0.6331657767295837,-0.1603376418352127,0.9996137619018555,0.4615401029586792,0.7745040655136108,0.18390941619873047,0.9686506390571594,0.2877550721168518,0.7840366363525391,-0.18795201182365417,0.9984893202781677,0.49373501539230347,0.9108448028564453,0.35482946038246155,0.9868724942207336,0.25033846497535706,0.9202272891998291,-0.08658473193645477,0.9982487559318542,0.47608375549316406,0.9402934908866882,0.35997259616851807,0.963861882686615,0.23197363317012787,0.9404420256614685,-0.088239885866642,0.9653435349464417,0.5807872414588928,0.9389077425003052,0.21364067494869232,0.984951376914978,0.30518004298210144,0.962912917137146,-0.30573761463165283,0.9954914450645447
9,0.41839417815208435,0.35003891587257385,-0.18928180634975433,0.9999923706054688,0.4186912775039673,0.43518757820129395,0.2554728090763092,0.9997816681861877,0.2956197261810303,0.41903069615364075,-0.28773847222328186,0.9999766945838928,0.5196916460990906,0.4669989347457886,0.28779566287994385,0.6484005451202393,0.27467504143714905,0.4451214373111725,-0.7111150026321411,0.9991769194602966,0.5909010171890259,0.40207165479660034,0.1886632889509201,0.8655725717544556,0.3797125220298767,0.4113258123397827,-0.9258315563201904,0.9986643195152283,0.6161085963249207,0.3851374089717865,0.1780039519071579,0.8499579429626465,0.4086036682128906,0.3973988890647888,-0.9996630549430847,0.9959234595298767,0.38636544346809387,0.6317557692527771,0.161189004778862,0.9996253252029419,0.3056235909461975,0.6312969326972961,-0.16127535700798035,0.9996406435966492,0.4548637866973877,0.7739615440368652,0.15195679664611816,0.9692385792732239,0.2836246192455292,0.7839489579200745,-0.19308242201805115,0.9984418749809265,0.49207109212875366,0.9104498624801636,0.29026708006858826,0.9868301153182983,0.2505156695842743,0.9207891821861267,-0.09612144529819489,0.9982038736343384,0.47598183155059814,0.9403064250946045,0.29180267453193665,0.9640297889709473,0.23367486894130707,0.9404482841491699,-0.09989786148071289,0.9650943875312805,0.5805953145027161,0.9361954927444458,0.1421917825937271,0.9850764274597168,0.3045322597026825,0.962801456451416,-0.3198586404323578,0.9954242706298828
