frame,0_x,0_y,0_v,11_x,11_y,11_v,12_x,12_y,12_v,13_x,13_y,13_v,14_x,14_y,14_v,15_x,15_y,15_v,16_x,16_y,16_v,17_x,17_y,17_v,18_x,18_y,18_v,23_x,23_y,23_v,24_x,24_y,24_v,25_x,25_y,25_v,26_x,26_y,26_v,27_x,27_y,27_v,28_x,28_y,28_v,29_x,29_y,29_v,30_x,30_y,30_v,31_x,31_y,31_v,32_x,32_y,32_v
11,0.398468,0.351611,0.999641,0.414749,0.434734,0.999961,0.283545,0.417919,0.999974,0.522745,0.453525,0.686363,0.211328,0.439485,0.997993,0.579905,0.383593,0.843237,0.318876,0.398776,0.994177,0.599783,0.362964,0.855378,0.351162,0.383997,0.988845,0.366236,0.628677,0.999982,0.287897,0.629117,0.999981,0.435818,0.773287,0.741655,0.272405,0.78106,0.981906,0.482805,0.910097,0.930937,0.250423,0.921515,0.985897,0.471566,0.941544,0.882615,0.231351,0.945699,0.847777,0.575918,0.926651,0.95769,0.307402,0.964566,0.976701
12,0.393595,0.348024,0.999675,0.411315,0.432123,0.999964,0.28129,0.417926,0.999974,0.51966,0.451528,0.713257,0.21156,0.438154,0.997952,0.576403,0.378208,0.858555,0.319607,0.389907,0.994481,0.594023,0.356243,0.869356,0.354073,0.376438,0.98938,0.364115,0.628182,0.999977,0.284146,0.62898,0.999975,0.433383,0.773291,0.720665,0.268718,0.781528,0.977622,0.481259,0.909462,0.926341,0.248963,0.921436,0.983522,0.471037,0.941332,0.874048,0.230905,0.945282,0.838172,0.574386,0.924299,0.955132,0.307892,0.964594,0.973047
13,0.388218,0.346886,0.999707,0.406221,0.429957,0.999967,0.273592,0.41774,0.999974,0.518445,0.444608,0.740141,0.188621,0.436745,0.997953,0.574264,0.372471,0.872542,0.298906,0.397059,0.99448,0.593433,0.350654,0.882148,0.33523,0.388232,0.989283,0.360266,0.627419,0.999975,0.280535,0.628633,0.999971,0.428886,0.773106,0.725881,0.266126,0.781707,0.977477,0.480271,0.908887,0.928276,0.248048,0.921558,0.983288,0.469495,0.941328,0.873883,0.230289,0.945043,0.838648,0.573461,0.920938,0.956145,0.307279,0.964549,0.972571
14,0.384991,0.348208,0.999735,0.401093,0.428582,0.99997,0.264228,0.417239,0.999975,0.517443,0.436994,0.764838,0.168885,0.437686,0.997968,0.572886,0.367144,0.885156,0.273212,0.399817,0.994462,0.594186,0.345932,0.893684,0.305696,0.391583,0.989201,0.359174,0.626746,0.999972,0.27804,0.628257,0.999966,0.425696,0.772878,0.735033,0.263299,0.781689,0.977333,0.479382,0.908519,0.930264,0.247866,0.9215,0.98302,0.467343,0.941322,0.874141,0.230246,0.94499,0.838281,0.572224,0.918615,0.95705,0.30729,0.963554,0.971869
15,0.379571,0.348699,0.999761,0.394275,0.42621,0.999972,0.251369,0.417177,0.999975,0.515913,0.425611,0.786872,0.143755,0.440056,0.998034,0.572953,0.353297,0.896527,0.239318,0.397768,0.994824,0.595659,0.334258,0.904121,0.265853,0.383428,0.989898,0.355875,0.626482,0.99997,0.274544,0.62823,0.99996,0.422712,0.77312,0.741117,0.259985,0.781729,0.976679,0.478356,0.907445,0.931742,0.247692,0.92146,0.982441,0.466609,0.940817,0.874817,0.230248,0.944876,0.836208,0.570698,0.916458,0.957945,0.307323,0.963069,0.970677
16,0.378132,0.34912,0.999783,0.388504,0.422823,0.999974,0.244903,0.416352,0.999975,0.513633,0.41858,0.806602,0.130948,0.440956,0.998057,0.57298,0.348449,0.906736,0.22301,0.3981,0.995009,0.595696,0.330333,0.913463,0.248703,0.381091,0.990261,0.355401,0.625659,0.999967,0.273111,0.627841,0.999954,0.421316,0.773197,0.749692,0.258062,0.781817,0.976396,0.477148,0.906563,0.933778,0.247254,0.92123,0.981875,0.466163,0.940011,0.87628,0.230137,0.944427,0.833257,0.569748,0.915861,0.958851,0.305462,0.963028,0.969228
17,0.37303,0.348202,0.999803,0.385675,0.421324,0.999976,0.239816,0.414125,0.999975,0.510944,0.413801,0.824911,0.116404,0.446608,0.998071,0.570486,0.347121,0.915971,0.204366,0.399549,0.99507,0.592771,0.32854,0.921948,0.229605,0.385117,0.990442,0.353555,0.624943,0.999965,0.271494,0.62747,0.999949,0.420245,0.773209,0.76416,0.257711,0.781787,0.977322,0.474788,0.906013,0.937695,0.247164,0.921257,0.98242,0.465663,0.939572,0.881498,0.230345,0.944371,0.837206,0.568374,0.916062,0.960955,0.304456,0.963148,0.969761
18,0.371215,0.348066,0.999822,0.381761,0.418692,0.999978,0.235806,0.413966,0.999975,0.505551,0.409596,0.841539,0.108783,0.45402,0.998091,0.57148,0.33928,0.924307,0.189837,0.400451,0.995249,0.590861,0.318535,0.929628,0.215235,0.387981,0.990839,0.351573,0.624701,0.999964,0.270682,0.627312,0.999945,0.419615,0.773278,0.776853,0.257521,0.781519,0.978171,0.473222,0.905747,0.940911,0.247188,0.921401,0.982944,0.465227,0.939108,0.886044,0.230433,0.944654,0.840666,0.567106,0.916131,0.96275,0.30442,0.963445,0.97039
19,0.363307,0.348317,0.999838,0.381171,0.416813,0.999979,0.233043,0.418606,0.999974,0.503443,0.401868,0.856415,0.100273,0.466479,0.998001,0.570308,0.328956,0.931822,0.17071,0.400977,0.995549,0.587953,0.306912,0.936576,0.189735,0.387795,0.991475,0.351831,0.624724,0.999959,0.270746,0.627636,0.999935,0.419599,0.77344,0.785792,0.256569,0.781534,0.977157,0.472311,0.905775,0.942995,0.247207,0.921431,0.982514,0.465093,0.938965,0.88843,0.230836,0.944595,0.837006,0.566959,0.916018,0.963866,0.304459,0.963457,0.969435
20,0.36442,0.347279,0.999852,0.379806,0.415436,0.999981,0.232481,0.419742,0.999974,0.499552,0.401879,0.869912,0.099257,0.469899,0.99802,0.56894,0.331853,0.938582,0.169652,0.401393,0.995826,0.587222,0.310154,0.94282,0.187251,0.387649,0.992046,0.351238,0.624762,0.999958,0.270193,0.627781,0.999932,0.419117,0.773477,0.797722,0.255982,0.781529,0.977745,0.471775,0.905808,0.946092,0.247271,0.921507,0.982991,0.465028,0.938942,0.893073,0.231589,0.944939,0.839992,0.56679,0.916076,0.965658,0.302673,0.963451,0.97
21,0.361553,0.345911,0.999864,0.381214,0.414718,0.999982,0.233251,0.421704,0.999972,0.500686,0.396171,0.881716,0.099134,0.47491,0.997854,0.56828,0.326294,0.944626,0.158932,0.40198,0.996017,0.587278,0.30627,0.948387,0.173715,0.387809,0.992481,0.35176,0.624822,0.999954,0.270573,0.627873,0.999923,0.419911,0.773481,0.802698,0.255927,0.781526,0.976283,0.472006,0.905889,0.947539,0.247305,0.921465,0.982103,0.465212,0.938947,0.893574,0.232311,0.944911,0.832943,0.56692,0.916314,0.96616,0.298934,0.963425,0.96805
22,0.36127,0.345603,0.999874,0.380678,0.414505,0.999982,0.232761,0.422985,0.999969,0.501363,0.394759,0.892433,0.099048,0.476432,0.997661,0.568362,0.324819,0.950063,0.159401,0.402999,0.996029,0.587707,0.305568,0.953386,0.174317,0.38718,0.992618,0.351828,0.624815,0.999947,0.270627,0.627868,0.999908,0.420253,0.773443,0.806134,0.255897,0.781498,0.974131,0.472265,0.906177,0.948061,0.247327,0.921445,0.98061,0.465393,0.939144,0.892934,0.232957,0.944872,0.823355,0.56702,0.916489,0.966067,0.297198,0.963348,0.965178
23,0.36073,0.345112,0.99988,0.381907,0.413918,0.999982,0.231791,0.424518,0.999963,0.501512,0.392094,0.901631,0.097886,0.479472,0.997312,0.568767,0.320205,0.954868,0.153053,0.403386,0.995972,0.58827,0.300486,0.957771,0.165369,0.387394,0.992679,0.352716,0.624763,0.999938,0.271451,0.627958,0.999893,0.420891,0.773212,0.805372,0.256279,0.781304,0.970668,0.472474,0.9062,0.948033,0.247592,0.921311,0.978519,0.465569,0.939057,0.890758,0.234009,0.944735,0.809588,0.567098,0.916585,0.96548,0.296076,0.963057,0.961224
24,0.361141,0.345262,0.999887,0.381871,0.41318,0.999981,0.232443,0.42632,0.999959,0.501818,0.391498,0.909832,0.097437,0.481687,0.997157,0.569626,0.320237,0.959211,0.152564,0.404653,0.996062,0.588608,0.299515,0.961749,0.163973,0.387569,0.992944,0.353143,0.624777,0.999932,0.27188,0.628315,0.999882,0.422695,0.77315,0.809337,0.256695,0.781185,0.969539,0.472559,0.906219,0.949372,0.247869,0.921283,0.977947,0.465764,0.938995,0.89237,0.234792,0.944661,0.805019,0.567578,0.917068,0.96607,0.296219,0.962956,0.959921
25,0.360544,0.345376,0.999894,0.381327,0.412691,0.999982,0.232512,0.426848,0.999957,0.502193,0.391801,0.91744,0.09735,0.482363,0.997021,0.570309,0.320789,0.96316,0.152137,0.405307,0.996187,0.588895,0.300073,0.965384,0.162656,0.387633,0.993246,0.353666,0.624794,0.999929,0.272092,0.628637,0.999876,0.423822,0.773113,0.812618,0.256849,0.78118,0.96817,0.472596,0.906224,0.950472,0.248141,0.921277,0.977291,0.465966,0.938778,0.893512,0.23528,0.944641,0.799866,0.567915,0.917364,0.96655,0.296423,0.962871,0.958569
26,0.360993,0.345441,0.999898,0.381961,0.412778,0.999982,0.233624,0.426992,0.999952,0.503955,0.390597,0.924015,0.100498,0.481784,0.996729,0.571866,0.322172,0.966679,0.155731,0.405585,0.995981,0.589705,0.301103,0.968602,0.168277,0.387339,0.993045,0.357685,0.625096,0.999927,0.273784,0.629411,0.999871,0.426939,0.773077,0.811275,0.257034,0.781064,0.96559,0.472828,0.906145,0.950542,0.248404,0.921275,0.97638,0.466011,0.938328,0.892693,0.235466,0.94466,0.793771,0.568211,0.918096,0.966348,0.296804,0.962872,0.957081
27,0.36183,0.345505,0.999899,0.385817,0.413099,0.999981,0.234643,0.426925,0.999947,0.509483,0.39153,0.92938,0.103882,0.481695,0.996302,0.576364,0.322314,0.969741,0.159112,0.405781,0.995729,0.592716,0.300907,0.971367,0.172272,0.387277,0.992793,0.363236,0.625614,0.999924,0.277162,0.629689,0.999865,0.432082,0.773073,0.803036,0.258095,0.780881,0.960923,0.47315,0.906144,0.949319,0.248702,0.921261,0.974469,0.466042,0.938204,0.889969,0.23552,0.944644,0.782935,0.568796,0.918727,0.965176,0.298382,0.962924,0.953912
28,0.362488,0.345552,0.999898,0.388024,0.413322,0.999981,0.235323,0.426879,0.999941,0.511623,0.391984,0.934166,0.10539,0.481692,0.995964,0.578093,0.322511,0.97248,0.160127,0.405976,0.995501,0.593944,0.300667,0.973832,0.173193,0.387318,0.992562,0.365495,0.625932,0.999919,0.278807,0.629938,0.999858,0.434695,0.773077,0.797423,0.259303,0.780676,0.957578,0.473524,0.906195,0.948631,0.248718,0.921252,0.973203,0.466066,0.938214,0.88829,0.235437,0.944663,0.775101,0.569322,0.919135,0.964383,0.299541,0.963032,0.951777
29,0.363055,0.345388,0.9999,0.393264,0.413407,0.99998,0.236585,0.427531,0.999938,0.512507,0.393325,0.938087,0.107097,0.481735,0.995664,0.581938,0.323877,0.97491,0.163584,0.406262,0.99535,0.596686,0.302039,0.976008,0.177639,0.385691,0.99242,0.369248,0.626645,0.999915,0.281735,0.630172,0.999853,0.438645,0.773274,0.787359,0.260522,0.78083,0.953253,0.474193,0.906502,0.946131,0.248816,0.921474,0.971401,0.466085,0.938377,0.884274,0.235417,0.945133,0.765706,0.57001,0.919501,0.962515,0.300554,0.963057,0.94898
30,0.363501,0.34528,0.999903,0.394609,0.413486,0.99998,0.237695,0.427861,0.999936,0.512656,0.394142,0.941674,0.10816,0.481626,0.995476,0.583347,0.324672,0.977113,0.165221,0.406427,0.995291,0.598337,0.302751,0.977987,0.179533,0.384756,0.992393,0.370522,0.627213,0.999914,0.283539,0.63046,0.999852,0.440693,0.773429,0.782663,0.261448,0.78089,0.951096,0.474784,0.906724,0.945376,0.249056,0.921631,0.970854,0.466097,0.938393,0.883273,0.23546,0.945412,0.762878,0.57054,0.91975,0.961851,0.301221,0.963177,0.948125
31,0.367588,0.34536,0.999908,0.39723,0.41357,0.99998,0.241975,0.427787,0.999935,0.518922,0.394325,0.94426,0.111431,0.481284,0.99506,0.586963,0.325177,0.979029,0.166648,0.406376,0.994947,0.604119,0.303404,0.97967,0.180819,0.384264,0.991951,0.373574,0.62737,0.999913,0.287159,0.630486,0.999852,0.445627,0.773433,0.774712,0.26292,0.780962,0.94722,0.475583,0.907078,0.942571,0.249241,0.921695,0.96945,0.466167,0.938487,0.879936,0.235471,0.945448,0.757508,0.570989,0.920663,0.959983,0.300986,0.963158,0.946182
32,0.375029,0.345546,0.999914,0.4014,0.414466,0.99998,0.246922,0.42805,0.999937,0.525226,0.397634,0.947026,0.116796,0.479238,0.994936,0.593125,0.327455,0.980858,0.17005,0.404106,0.995038,0.614081,0.305987,0.981343,0.182493,0.381657,0.992147,0.377494,0.627378,0.999913,0.291989,0.630494,0.999852,0.454331,0.773315,0.764335,0.26482,0.781207,0.941353,0.477191,0.907563,0.938413,0.24933,0.92174,0.966824,0.466485,0.938674,0.875334,0.235247,0.945443,0.748504,0.571439,0.922938,0.957555,0.301251,0.963145,0.942831
33,0.378358,0.345591,0.99992,0.403439,0.414772,0.999981,0.249586,0.428005,0.999938,0.527875,0.399666,0.949351,0.120467,0.477856,0.99487,0.595324,0.329282,0.982454,0.172367,0.403336,0.995115,0.616383,0.307975,0.982788,0.184141,0.380701,0.992297,0.379483,0.627424,0.999913,0.29379,0.6305,0.999853,0.457118,0.773305,0.76379,0.266711,0.781315,0.9394,0.477778,0.907586,0.9387,0.250061,0.921381,0.96631,0.466589,0.938691,0.876502,0.235897,0.944101,0.747976,0.571649,0.92461,0.957734,0.299609,0.962964,0.942198
34,0.386475,0.345843,0.999926,0.407584,0.417034,0.999981,0.25527,0.428452,0.999941,0.531284,0.405719,0.952059,0.125557,0.475701,0.994968,0.605744,0.333548,0.984047,0.178622,0.40122,0.995406,0.625588,0.312001,0.9843,0.188067,0.378798,0.992776,0.383998,0.627461,0.999915,0.300768,0.630502,0.999857,0.46361,0.773111,0.761528,0.270471,0.781316,0.937551,0.479055,0.907807,0.938513,0.25084,0.921409,0.966203,0.466891,0.938919,0.878385,0.235877,0.944055,0.750349,0.571831,0.92908,0.958209,0.299633,0.962905,0.942706
35,0.392387,0.34642,0.999932,0.409751,0.420224,0.999982,0.259006,0.428779,0.999944,0.534393,0.415845,0.953768,0.131438,0.473888,0.994994,0.608683,0.342433,0.985399,0.183905,0.398724,0.995596,0.630108,0.321328,0.985555,0.192356,0.376906,0.993096,0.388995,0.627895,0.999918,0.306149,0.630948,0.999863,0.469628,0.773081,0.757813,0.273901,0.781558,0.936155,0.480932,0.907912,0.937783,0.251046,0.921453,0.966403,0.467664,0.938935,0.879598,0.234826,0.944072,0.753407,0.572493,0.932775,0.958338,0.3001,0.962942,0.943524
36,0.401326,0.347052,0.999938,0.421041,0.423304,0.999983,0.265137,0.429869,0.999947,0.542105,0.429407,0.956025,0.136761,0.470141,0.995232,0.616746,0.363407,0.98672,0.19292,0.390889,0.995891,0.639617,0.342255,0.986817,0.202824,0.367799,0.993563,0.398905,0.629003,0.999921,0.317697,0.632043,0.999868,0.478632,0.773117,0.754764,0.279881,0.78185,0.937289,0.484088,0.908204,0.937584,0.251287,0.921702,0.967555,0.467987,0.939199,0.882663,0.232676,0.94435,0.76215,0.574383,0.937339,0.95904,0.302349,0.962999,0.945824
37,0.404763,0.347401,0.999943,0.426535,0.424234,0.999985,0.268124,0.430407,0.999951,0.54548,0.432143,0.957654,0.139783,0.468111,0.995453,0.619651,0.365292,0.987872,0.195637,0.389329,0.996164,0.643837,0.345683,0.987913,0.206233,0.366965,0.994005,0.403136,0.629704,0.999924,0.321937,0.63268,0.999874,0.481643,0.773108,0.756028,0.283345,0.782592,0.939977,0.486395,0.907742,0.938715,0.251523,0.922095,0.969355,0.467944,0.939171,0.887208,0.232159,0.944747,0.774073,0.57438,0.937475,0.960447,0.303644,0.96297,0.948987
38,0.413609,0.347389,0.999948,0.434159,0.426328,0.999986,0.276277,0.430606,0.999954,0.548981,0.444722,0.959242,0.148733,0.459255,0.995764,0.626336,0.386601,0.988963,0.206933,0.378538,0.996472,0.651549,0.368824,0.988966,0.21667,0.354517,0.994485,0.414358,0.630017,0.999927,0.334385,0.633049,0.99988,0.49132,0.772349,0.755441,0.294453,0.783332,0.943383,0.490747,0.907721,0.940314,0.251627,0.922338,0.971228,0.468554,0.939165,0.892567,0.23187,0.944929,0.787216,0.575598,0.939933,0.962148,0.304963,0.963058,0.952331
39,0.419743,0.347429,0.999953,0.439289,0.4296,0.999987,0.281359,0.430657,0.999957,0.551412,0.456952,0.959571,0.156298,0.45335,0.996076,0.63061,0.397925,0.98989,0.214488,0.369482,0.996766,0.657189,0.382368,0.98985,0.223839,0.345284,0.994937,0.423646,0.63023,0.99993,0.343154,0.633177,0.999886,0.498096,0.772119,0.757258,0.305128,0.784338,0.946791,0.492276,0.907796,0.943111,0.252268,0.92152,0.973186,0.469051,0.939081,0.898951,0.231888,0.943666,0.80051,0.577418,0.941855,0.964373,0.304503,0.963072,0.95578
40,0.426025,0.34741,0.999957,0.444588,0.43353,0.999987,0.288879,0.430695,0.99996,0.558163,0.465537,0.959244,0.163518,0.444712,0.996373,0.635234,0.410116,0.990718,0.223447,0.36261,0.997042,0.661817,0.392603,0.990641,0.230905,0.337961,0.995358,0.433715,0.630487,0.999934,0.353453,0.633193,0.999893,0.50407,0.772003,0.760569,0.315641,0.784672,0.950405,0.492894,0.907836,0.946476,0.252357,0.91998,0.975246,0.470833,0.938692,0.905705,0.231815,0.941648,0.814057,0.577484,0.942519,0.966752,0.304461,0.96309,0.959314
41,0.432665,0.347367,0.999961,0.449311,0.435006,0.999988,0.299389,0.430706,0.999962,0.557601,0.475103,0.958634,0.17088,0.43519,0.99668,0.63383,0.427537,0.991373,0.235221,0.353377,0.997298,0.661973,0.410984,0.991222,0.240635,0.331726,0.995743,0.441119,0.630479,0.999938,0.361599,0.632791,0.999901,0.50777,0.771993,0.773139,0.327776,0.784405,0.954654,0.49269,0.9082,0.950823,0.25253,0.917062,0.977418,0.4709,0.938854,0.913484,0.231827,0.937526,0.828746,0.57836,0.943427,0.969532,0.304429,0.962919,0.962955
42,0.439342,0.347314,0.999964,0.453336,0.43566,0.999989,0.309005,0.430219,0.999965,0.554916,0.485673,0.957808,0.184515,0.427359,0.996966,0.63352,0.440244,0.991931,0.243738,0.346779,0.997531,0.662646,0.42346,0.991679,0.250229,0.327127,0.99609,0.448827,0.629585,0.999943,0.372004,0.630613,0.999909,0.51091,0.771867,0.788048,0.340186,0.783615,0.958763,0.493006,0.908223,0.95506,0.255032,0.912658,0.979492,0.47086,0.938852,0.92104,0.23237,0.931677,0.843361,0.580063,0.944388,0.97221,0.304774,0.962955,0.966412
43,0.452113,0.348306,0.999967,0.459532,0.437367,0.999989,0.326182,0.426266,0.999967,0.554617,0.500424,0.956497,0.214062,0.405331,0.997224,0.63632,0.461879,0.992222,0.263667,0.332249,0.99758,0.66805,0.447445,0.991571,0.271091,0.318179,0.995983,0.462401,0.626663,0.999948,0.391198,0.627562,0.999918,0.510901,0.771716,0.805604,0.368068,0.782142,0.962758,0.494703,0.908409,0.959133,0.263045,0.90918,0.981458,0.470839,0.938932,0.928126,0.234463,0.926654,0.857509,0.579978,0.945584,0.974741,0.308717,0.963173,0.969663
44,0.455265,0.349777,0.99997,0.459564,0.440222,0.99999,0.339713,0.425453,0.999968,0.547698,0.507592,0.954085,0.242592,0.3939,0.997459,0.638217,0.470997,0.99237,0.279568,0.329135,0.997657,0.670179,0.461017,0.991344,0.282495,0.314916,0.995987,0.469922,0.62513,0.999953,0.403393,0.62569,0.999925,0.513282,0.771679,0.821128,0.383574,0.781728,0.966363,0.495483,0.908754,0.96278,0.270207,0.905976,0.983236,0.471659,0.938949,0.934547,0.237217,0.921881,0.870389,0.58158,0.945414,0.977037,0.312582,0.963438,0.97261
