frame_id,timestamp,nose_x,nose_y,nose_z,nose_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_visibility,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,left_heel_x,left_heel_y,left_heel_z,left_heel_visibility,right_heel_x,right_heel_y,right_heel_z,right_heel_visibility,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_visibility,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_visibility
0,0.0,0.6044710278511047,0.2800960838794708,-0.04295510798692703,0.999021053314209,0.5724570155143738,0.35345524549484253,0.11964219063520432,0.9963962435722351,0.5748728513717651,0.35238856077194214,-0.17437319457530975,0.9997346997261047,0.5915926694869995,0.44883155822753906,0.1840832382440567,0.06044203042984009,0.5875978469848633,0.447639524936676,-0.21570321917533875,0.9839205145835876,0.6432467699050903,0.44551628828048706,0.1573592871427536,0.1980871856212616,0.6488407850265503,0.4493507444858551,-0.1916785091161728,0.9646762013435364,0.6585372090339661,0.4412337839603424,0.1612929254770279,0.2556023895740509,0.6637304425239563,0.4492815434932709,-0.2175733596086502,0.9499338269233704,0.5777225494384766,0.5762812495231628,0.08863335102796555,0.9924208521842957,0.5901616811752319,0.580329418182373,-0.08859694749116898,0.9948320388793945,0.5808153748512268,0.7315596342086792,0.15248951315879822,0.48565545678138733,0.5962654948234558,0.7420058846473694,-0.0578610897064209,0.9769279956817627,0.5687538385391235,0.8765789866447449,0.23877999186515808,0.7935240864753723,0.5911585688591003,0.9099700450897217,-0.007672901265323162,0.9880316257476807,0.5571739673614502,0.9035226702690125,0.2436547577381134,0.8305260539054871,0.5790958404541016,0.9393905997276306,-0.007054917048662901,0.9747384786605835,0.595301628112793,0.9070806503295898,0.20475314557552338,0.8876832723617554,0.6285736560821533,0.9484174847602844,-0.07310989499092102,0.9824700355529785
1,0.03333333333333333,0.6040182709693909,0.27992120385169983,-0.04555222764611244,0.9990845322608948,0.5725986957550049,0.3561992347240448,0.1197950690984726,0.9966388940811157,0.5748744606971741,0.3538907468318939,-0.174558624625206,0.9997408390045166,0.591812252998352,0.4491511285305023,0.19257940351963043,0.0699382796883583,0.5894002318382263,0.4511267840862274,-0.23659557104110718,0.9842597842216492,0.6544819474220276,0.44422799348831177,0.17406919598579407,0.22893212735652924,0.6496019959449768,0.4484575092792511,-0.2598763704299927,0.9668071269989014,0.6619431972503662,0.4412584900856018,0.18017441034317017,0.28558841347694397,0.6643095016479492,0.4485974609851837,-0.2932066321372986,0.9528897404670715,0.577716052532196,0.578031063079834,0.08843334019184113,0.9928222298622131,0.5892094373703003,0.5831930637359619,-0.08842118084430695,0.9950705766677856,0.5817135572433472,0.7329837083816528,0.1696324348449707,0.5052568316459656,0.5957362055778503,0.7421736121177673,-0.04635215923190117,0.9773993492126465,0.5697360634803772,0.8802983164787292,0.27326294779777527,0.8041760921478271,0.5905086398124695,0.912163257598877,0.0254018884152174,0.9884999394416809,0.558121383190155,0.9044256806373596,0.28013381361961365,0.8386611342430115,0.5790045261383057,0.9394981861114502,0.028956549242138863,0.9752722382545471,0.5934150218963623,0.9072164297103882,0.24185572564601898,0.892859935760498,0.6268416047096252,0.948715090751648,-0.036430321633815765,0.9830137491226196
2,0.06666666666666667,0.603834331035614,0.279668927192688,-0.04642827436327934,0.9991330504417419,0.5725390911102295,0.35698625445365906,0.11976610869169235,0.9968520998954773,0.5752922892570496,0.3548537492752075,-0.1749195009469986,0.9997462034225464,0.5917799472808838,0.4496413469314575,0.19216738641262054,0.07556133717298508,0.5919317007064819,0.4561168849468231,-0.23605948686599731,0.9846354722976685,0.6534311175346375,0.44430527091026306,0.1719907820224762,0.2502526044845581,0.6519922614097595,0.4483886957168579,-0.25214579701423645,0.9687556028366089,0.6624801754951477,0.4412079453468323,0.17785440385341644,0.30733248591423035,0.6667034029960632,0.4485577344894409,-0.28460925817489624,0.9556057453155518,0.5775681138038635,0.5788066983222961,0.08835151046514511,0.9931520819664001,0.588992178440094,0.5846675038337708,-0.08835069835186005,0.9952505230903625,0.5821725726127625,0.7339677214622498,0.1719159185886383,0.522322416305542,0.5955121517181396,0.7424024343490601,-0.043219827115535736,0.9778153300285339,0.5701647996902466,0.8825268149375916,0.27458709478378296,0.8136042356491089,0.5900800824165344,0.9136305451393127,0.03074461780488491,0.9888996481895447,0.5586245059967041,0.9056383371353149,0.2813093364238739,0.8458389043807983,0.5789397358894348,0.939771294593811,0.034505683928728104,0.9756959676742554,0.5922642350196838,0.9072895646095276,0.24369078874588013,0.8974494338035583,0.626200795173645,0.949076771736145,-0.029698649421334267,0.9834784269332886
3,0.1,0.6036726832389832,0.27924180030822754,-0.05087432637810707,0.999168872833252,0.5729807019233704,0.3573042154312134,0.1212742030620575,0.9969558119773865,0.5752770900726318,0.3548521399497986,-0.18044932186603546,0.9997459053993225,0.5942355394363403,0.4496731758117676,0.1917252540588379,0.07831121981143951,0.591809868812561,0.45580583810806274,-0.2534659206867218,0.9840485453605652,0.6694389581680298,0.4387643039226532,0.15660877525806427,0.26550185680389404,0.6522487998008728,0.44444289803504944,-0.2831910252571106,0.96946781873703,0.674653947353363,0.4398939907550812,0.1605214625597,0.32359763979911804,0.6677965521812439,0.4448682963848114,-0.31808242201805115,0.9567257165908813,0.5775676965713501,0.5796757340431213,0.08865048736333847,0.9933108687400818,0.5889095067977905,0.5856022238731384,-0.08867179602384567,0.9953662157058716,0.5824705958366394,0.7342700362205505,0.1783788949251175,0.5359075665473938,0.5954498648643494,0.7426037192344666,-0.043845877051353455,0.9782211780548096,0.570300817489624,0.8832324147224426,0.2857012450695038,0.8230891823768616,0.589769184589386,0.9146032929420471,0.019384853541851044,0.9892394542694092,0.5588750839233398,0.9060419201850891,0.29286420345306396,0.8528862595558167,0.5787890553474426,0.9399245977401733,0.02195361815392971,0.9761013984680176,0.5948888659477234,0.9073671102523804,0.25288453698158264,0.9017839431762695,0.6257379055023193,0.9494756460189819,-0.04317939281463623,0.9837871789932251
4,0.13333333333333333,0.6034917235374451,0.27897682785987854,-0.049268148839473724,0.9991508722305298,0.5731856822967529,0.35743463039398193,0.12367436289787292,0.9969572424888611,0.5752650499343872,0.3548268973827362,-0.17956429719924927,0.9997429847717285,0.5936815142631531,0.45301419496536255,0.19122616946697235,0.07719279080629349,0.5920730233192444,0.4553816318511963,-0.24850299954414368,0.9841108322143555,0.6640755534172058,0.44680923223495483,0.15919229388237,0.2615065574645996,0.6523063778877258,0.4426283538341522,-0.2769700586795807,0.9704988598823547,0.672129213809967,0.4395099878311157,0.16518756747245789,0.32016387581825256,0.6680676937103271,0.4430822730064392,-0.31092754006385803,0.9582443237304688,0.5775684714317322,0.5802979469299316,0.08851487189531326,0.9933187365531921,0.5888918042182922,0.5859572887420654,-0.08854115754365921,0.9953968524932861,0.5826146602630615,0.7344506978988647,0.17376072704792023,0.5486286878585815,0.5954446792602539,0.7426150441169739,-0.04615097865462303,0.978550374507904,0.5703862309455872,0.8840803503990173,0.2767667770385742,0.8312404751777649,0.5896674394607544,0.9154269099235535,0.01923907734453678,0.9895391464233398,0.5590929388999939,0.9069553017616272,0.28351372480392456,0.858989417552948,0.5787010192871094,0.9401978850364685,0.02204797975718975,0.9764527678489685,0.5932583212852478,0.907459020614624,0.24365609884262085,0.9054975509643555,0.6256874203681946,0.949684739112854,-0.04500523954629898,0.9840949773788452
5,0.16666666666666666,0.603341281414032,0.2787640392780304,-0.04287301003932953,0.9991658926010132,0.5736740231513977,0.35742074251174927,0.12824653089046478,0.9970099925994873,0.5747557282447815,0.3547813892364502,-0.1756107658147812,0.9997493624687195,0.5936719179153442,0.4528885781764984,0.19868622720241547,0.07743106782436371,0.5926629900932312,0.45524924993515015,-0.24382448196411133,0.9847559332847595,0.6622470617294312,0.44765132665634155,0.17398813366889954,0.26144179701805115,0.6532680988311768,0.441922664642334,-0.2714228928089142,0.9721630811691284,0.660781979560852,0.4379986822605133,0.18188244104385376,0.3206119239330292,0.6689700484275818,0.4425382912158966,-0.3050052225589752,0.9605156183242798,0.5777037143707275,0.580302894115448,0.08814870566129684,0.9933764338493347,0.5888832211494446,0.5858402848243713,-0.08816943317651749,0.9955061078071594,0.5828778147697449,0.7344409227371216,0.1735841929912567,0.5608728528022766,0.5954879522323608,0.7423537373542786,-0.05328531563282013,0.979210376739502,0.5704081058502197,0.8847867250442505,0.27190226316452026,0.8386357426643372,0.5895523428916931,0.9156445860862732,0.0032856673933565617,0.9899325370788574,0.5590885877609253,0.9076921939849854,0.27814629673957825,0.8643878698348999,0.5785455703735352,0.9403632879257202,0.004893761593848467,0.9769725203514099,0.593017578125,0.9075388312339783,0.23874269425868988,0.9091479182243347,0.6267920732498169,0.9500187635421753,-0.06385527551174164,0.9845667481422424
6,0.2,0.6032714247703552,0.2784899175167084,-0.040342193096876144,0.9991914629936218,0.5741012096405029,0.3574027717113495,0.13009831309318542,0.9970783591270447,0.5744147896766663,0.3547514081001282,-0.17362752556800842,0.9997557997703552,0.5937576293945312,0.4527961313724518,0.20142678916454315,0.0783582478761673,0.5930396914482117,0.45515280961990356,-0.24223914742469788,0.985344409942627,0.6594486236572266,0.4475449323654175,0.1784307360649109,0.26390090584754944,0.6537811756134033,0.44158637523651123,-0.27051302790641785,0.9736800193786621,0.6608019471168518,0.43750643730163574,0.18638229370117188,0.3235647678375244,0.6694148182868958,0.4422816336154938,-0.3039500117301941,0.9625783562660217,0.5778807401657104,0.58033686876297,0.08787823468446732,0.9934518933296204,0.5888792872428894,0.5857720971107483,-0.08789462596178055,0.9956178069114685,0.5830694437026978,0.7344239950180054,0.1727759838104248,0.5717794299125671,0.5954975485801697,0.7422865629196167,-0.05723855644464493,0.9798130989074707,0.5704061985015869,0.8851259350776672,0.2705231010913849,0.8452540636062622,0.5894602537155151,0.9159266948699951,-0.004046098794788122,0.9902845621109009,0.5590784549713135,0.9081210494041443,0.27663296461105347,0.8691055774688721,0.5784186720848083,0.9406591057777405,-0.002856213366612792,0.9774441123008728,0.5928027629852295,0.9075422286987305,0.23757734894752502,0.9124205708503723,0.6275731325149536,0.9503093361854553,-0.07172799855470657,0.9849879741668701
7,0.23333333333333334,0.602782666683197,0.2784464359283447,-0.03538545221090317,0.9992287755012512,0.5745334029197693,0.3580988347530365,0.13494662940502167,0.9971221685409546,0.574087917804718,0.3544768989086151,-0.16814599931240082,0.9997689127922058,0.5938946008682251,0.4551388919353485,0.199654683470726,0.07753730565309525,0.5948455929756165,0.4477821886539459,-0.2438480108976364,0.9861558079719543,0.6495733261108398,0.4669207036495209,0.1752186119556427,0.2550351023674011,0.654466450214386,0.43885910511016846,-0.2882443368434906,0.9753655195236206,0.6523547768592834,0.44240128993988037,0.18261122703552246,0.31388968229293823,0.6696275472640991,0.4410775601863861,-0.3234078586101532,0.9648802280426025,0.5779823660850525,0.5803162455558777,0.08768583834171295,0.9935194253921509,0.5888869166374207,0.5854832530021667,-0.08770035207271576,0.9957988262176514,0.5838080048561096,0.7342896461486816,0.1625988483428955,0.5823289155960083,0.5957525372505188,0.7420700192451477,-0.07107972353696823,0.9805986881256104,0.5704007744789124,0.8849668502807617,0.2561536729335785,0.8515684008598328,0.5895422697067261,0.9162100553512573,-0.0324840322136879,0.9907199740409851,0.5590740442276001,0.9080999493598938,0.2616840600967407,0.8729247450828552,0.578463613986969,0.9411485195159912,-0.033125028014183044,0.9780080318450928,0.592239499092102,0.907483696937561,0.22114525735378265,0.9160577058792114,0.6284016966819763,0.9504100680351257,-0.10514198243618011,0.9856247901916504
8,0.26666666666666666,0.6018295884132385,0.278376966714859,-0.03363035246729851,0.9992597103118896,0.574512243270874,0.35799458622932434,0.13560809195041656,0.9971343874931335,0.5740293264389038,0.35365402698516846,-0.16645783185958862,0.9997801780700684,0.5898330211639404,0.45752155780792236,0.19811932742595673,0.07537080347537994,0.594819962978363,0.4441092610359192,-0.250125914812088,0.9868040084838867,0.6359217762947083,0.48595303297042847,0.16501998901367188,0.2402600198984146,0.6543922424316406,0.4360199570655823,-0.3049105405807495,0.976571798324585,0.6406763792037964,0.4891391396522522,0.17070432007312775,0.29703032970428467,0.6695902943611145,0.4395515024662018,-0.34083014726638794,0.9666106104850769,0.5778948068618774,0.5802950263023376,0.08768949657678604,0.9937017560005188,0.5888742804527283,0.5853996872901917,-0.08770527690649033,0.9960166811943054,0.5839849710464478,0.7340595722198486,0.16303712129592896,0.5956276655197144,0.5962101817131042,0.7421038746833801,-0.07341424375772476,0.981326162815094,0.5703310370445251,0.8848487138748169,0.2614046335220337,0.8582046031951904,0.5898773670196533,0.9167283773422241,-0.03348197415471077,0.9910899996757507,0.5589892864227295,0.9080791473388672,0.2675248682498932,0.8772762417793274,0.5787778496742249,0.9418788552284241,-0.03390054032206535,0.9783077239990234,0.5918821096420288,0.9069982171058655,0.2273145467042923,0.9196524620056152,0.6288350820541382,0.9504601359367371,-0.10667381435632706,0.9861865043640137
9,0.3,0.6011959910392761,0.2781783640384674,-0.034786343574523926,0.9992887377738953,0.5743692517280579,0.35800033807754517,0.1340356022119522,0.9971668124198914,0.5737785696983337,0.3530917167663574,-0.16680699586868286,0.9997914433479309,0.589426577091217,0.4575914442539215,0.1972932666540146,0.07279547303915024,0.5947139263153076,0.44188162684440613,-0.26089125871658325,0.9874759912490845,0.6290769577026367,0.4897524118423462,0.1629265993833542,0.22787563502788544,0.65446937084198,0.43283316493034363,-0.32254868745803833,0.9778972864151001,0.6348533034324646,0.4958025813102722,0.16824553906917572,0.28359222412109375,0.6701805591583252,0.4365141987800598,-0.3603772521018982,0.9685039520263672,0.5778723359107971,0.5803412795066833,0.08791067451238632,0.9938319325447083,0.5883439183235168,0.5853448510169983,-0.08792778849601746,0.9962018728256226,0.5845919251441956,0.7339098453521729,0.16529372334480286,0.6058172583580017,0.5965768694877625,0.7422077655792236,-0.07053089886903763,0.9819628596305847,0.5700722932815552,0.8842790126800537,0.26819199323654175,0.8631598949432373,0.5908209085464478,0.9170450568199158,-0.025436362251639366,0.991430938243866,0.5587338805198669,0.9076234698295593,0.274766743183136,0.8804105520248413,0.5800920128822327,0.9423322677612305,-0.0253154207020998,0.9785871505737305,0.5909246802330017,0.9066125750541687,0.2344260811805725,0.92275071144104,0.629578709602356,0.9505425095558167,-0.09825830161571503,0.9867172837257385
