frame,0_x,0_y,0_v,11_x,11_y,11_v,12_x,12_y,12_v,13_x,13_y,13_v,14_x,14_y,14_v,15_x,15_y,15_v,16_x,16_y,16_v,17_x,17_y,17_v,18_x,18_y,18_v,23_x,23_y,23_v,24_x,24_y,24_v,25_x,25_y,25_v,26_x,26_y,26_v,27_x,27_y,27_v,28_x,28_y,28_v,29_x,29_y,29_v,30_x,30_y,30_v,31_x,31_y,31_v,32_x,32_y,32_v
1,0.491469,0.446184,0.99352,0.444846,0.486004,0.999859,0.453484,0.483568,0.999957,0.449148,0.540668,0.116579,0.461838,0.549041,0.99127,0.485027,0.597437,0.159933,0.514033,0.604183,0.953294,0.497704,0.600136,0.185024,0.518337,0.622312,0.919721,0.433482,0.632216,0.999983,0.437012,0.642549,0.999988,0.430225,0.735304,0.782384,0.428367,0.746359,0.980575,0.434144,0.859513,0.951487,0.364808,0.826326,0.987516,0.412799,0.848551,0.949984,0.348496,0.838794,0.950987,0.476229,0.859465,0.95268,0.395535,0.866098,0.979633
2,0.488968,0.449539,0.994069,0.464914,0.498367,0.999867,0.428569,0.490434,0.999956,0.496269,0.557478,0.158921,0.449225,0.555958,0.991489,0.558639,0.584375,0.232749,0.512946,0.599948,0.956957,0.579881,0.589649,0.253512,0.525317,0.621174,0.925831,0.447482,0.645161,0.999983,0.418157,0.646201,0.999986,0.439676,0.733294,0.799548,0.409229,0.733942,0.980906,0.452938,0.831105,0.955076,0.357906,0.819489,0.98801,0.439036,0.84794,0.952018,0.347317,0.833232,0.949841,0.499079,0.854453,0.956284,0.374015,0.862252,0.980498
3,0.487418,0.452435,0.994602,0.464843,0.503099,0.999871,0.419482,0.491777,0.999949,0.500173,0.559609,0.193599,0.43102,0.553224,0.990933,0.566929,0.577529,0.2949,0.493526,0.58992,0.957692,0.587051,0.585627,0.311499,0.51149,0.598369,0.927085,0.448035,0.655316,0.999981,0.409828,0.653676,0.999984,0.444196,0.735434,0.812021,0.39723,0.734929,0.981035,0.456511,0.827384,0.957575,0.354749,0.823154,0.988282,0.444505,0.84708,0.952725,0.346964,0.833499,0.947211,0.505423,0.853114,0.958935,0.368307,0.864321,0.980952
4,0.476628,0.449529,0.995133,0.465311,0.504588,0.99988,0.411645,0.48711,0.999952,0.505778,0.557928,0.250326,0.409665,0.546782,0.991549,0.581738,0.576901,0.361795,0.48538,0.575526,0.961576,0.598199,0.580279,0.375839,0.505341,0.586402,0.933618,0.44901,0.651708,0.999981,0.405988,0.650228,0.999984,0.451358,0.734789,0.825804,0.389347,0.733984,0.982575,0.457274,0.828226,0.960804,0.354273,0.824489,0.989195,0.445579,0.847148,0.954945,0.346742,0.834383,0.949391,0.509289,0.852436,0.962229,0.364513,0.863898,0.98241
5,0.466069,0.44859,0.995618,0.46852,0.505275,0.999889,0.403396,0.487116,0.999953,0.515987,0.55405,0.311058,0.401612,0.543525,0.992051,0.588034,0.560144,0.424081,0.474894,0.560095,0.964979,0.605816,0.559918,0.436313,0.494902,0.56781,0.939354,0.448113,0.651266,0.999981,0.401182,0.649169,0.999983,0.451062,0.736049,0.839384,0.382262,0.734504,0.984027,0.457956,0.8277,0.963989,0.35414,0.826305,0.990118,0.446509,0.846751,0.957422,0.346782,0.837775,0.951955,0.510909,0.853337,0.965379,0.363442,0.864365,0.983873
6,0.447714,0.446635,0.996048,0.461722,0.501707,0.999894,0.384788,0.484235,0.99995,0.513238,0.543376,0.365623,0.381782,0.535411,0.991896,0.576819,0.536355,0.479607,0.447842,0.53681,0.967201,0.598693,0.534517,0.490093,0.465215,0.541229,0.943177,0.445508,0.648691,0.999981,0.390266,0.647247,0.999982,0.449415,0.735484,0.850134,0.371884,0.735433,0.984927,0.457689,0.827165,0.966573,0.352746,0.828777,0.990782,0.445724,0.84645,0.957844,0.347524,0.840077,0.950804,0.509889,0.851877,0.96792,0.360763,0.863721,0.984878
7,0.437256,0.444462,0.996439,0.457591,0.500412,0.9999,0.379439,0.483574,0.999951,0.510569,0.534846,0.421542,0.357961,0.531296,0.992431,0.575029,0.52347,0.530608,0.41959,0.52399,0.970157,0.60109,0.516889,0.539615,0.43604,0.52635,0.948169,0.440983,0.647457,0.99998,0.38275,0.644591,0.999981,0.447835,0.733022,0.858828,0.367079,0.733486,0.985724,0.458027,0.829084,0.968827,0.351919,0.829952,0.991334,0.446261,0.847465,0.958389,0.347201,0.841442,0.949863,0.510415,0.851998,0.970292,0.359594,0.862336,0.98577
8,0.428758,0.44336,0.996788,0.45625,0.500461,0.999905,0.367242,0.4847,0.999949,0.514516,0.530308,0.471559,0.344965,0.529397,0.992412,0.574391,0.511612,0.575908,0.39747,0.508908,0.972099,0.598308,0.505524,0.58356,0.414725,0.505208,0.95136,0.436057,0.645584,0.999979,0.377751,0.642025,0.999979,0.446983,0.731185,0.865486,0.363144,0.731262,0.985751,0.459042,0.829092,0.970693,0.351401,0.829929,0.991551,0.447056,0.847269,0.957016,0.348176,0.842116,0.944897,0.510625,0.85222,0.97216,0.358384,0.861489,0.986074
9,0.414957,0.443254,0.997091,0.454907,0.497924,0.999904,0.355009,0.490881,0.999936,0.51278,0.517471,0.511552,0.317912,0.526003,0.989931,0.56482,0.487016,0.614562,0.374272,0.489084,0.971368,0.584515,0.475001,0.62098,0.39499,0.48208,0.94996,0.430362,0.643818,0.999976,0.372355,0.6413,0.999976,0.44689,0.73218,0.867985,0.356743,0.731016,0.983247,0.459239,0.829197,0.971929,0.351056,0.830413,0.991132,0.448102,0.847162,0.952874,0.349912,0.842303,0.935811,0.510226,0.851707,0.973025,0.358242,0.859772,0.984997
10,0.398716,0.444676,0.997356,0.449011,0.49676,0.999904,0.345738,0.493154,0.999917,0.50933,0.503869,0.540524,0.295128,0.522243,0.979404,0.556092,0.464476,0.649646,0.331131,0.48149,0.965248,0.573651,0.450079,0.656094,0.335362,0.470843,0.94374,0.423492,0.643578,0.999967,0.367284,0.641695,0.999966,0.446347,0.732641,0.842795,0.35289,0.732274,0.971662,0.461045,0.828463,0.970439,0.350792,0.831056,0.989065,0.449834,0.845939,0.939168,0.349521,0.842853,0.914511,0.510172,0.852665,0.971498,0.357619,0.860203,0.981076
11,0.39769,0.445042,0.997606,0.442631,0.496243,0.999907,0.343375,0.493842,0.999908,0.508176,0.501958,0.574357,0.295026,0.522239,0.975307,0.550864,0.46342,0.682876,0.325763,0.481293,0.965831,0.57028,0.448564,0.688846,0.330507,0.469797,0.945373,0.422138,0.643336,0.999962,0.3666,0.64177,0.999959,0.445952,0.733,0.835746,0.352032,0.732449,0.963111,0.461876,0.827997,0.970909,0.350597,0.831271,0.987744,0.450614,0.845176,0.933222,0.34921,0.843109,0.899043,0.510271,0.853423,0.971879,0.357654,0.860245,0.978534
12,0.388939,0.443828,0.997827,0.4383,0.49181,0.999909,0.333288,0.494191,0.9999,0.50509,0.489435,0.611462,0.274943,0.520929,0.972488,0.536182,0.443098,0.713905,0.306112,0.470254,0.968201,0.551932,0.427607,0.71933,0.316371,0.456792,0.949409,0.418941,0.643169,0.999951,0.362822,0.642692,0.999946,0.446738,0.732812,0.834075,0.349312,0.732751,0.950572,0.464287,0.825951,0.971711,0.350485,0.831505,0.98586,0.452565,0.842168,0.927026,0.350585,0.843333,0.88167,0.510592,0.85313,0.972274,0.357487,0.858677,0.974818
13,0.38626,0.444002,0.998009,0.437169,0.489437,0.999912,0.332072,0.495057,0.999891,0.504309,0.488751,0.643619,0.271301,0.518826,0.970204,0.532227,0.442365,0.741798,0.305522,0.468346,0.970138,0.547606,0.425338,0.746735,0.317474,0.455209,0.952681,0.418518,0.642651,0.999936,0.361596,0.642743,0.999928,0.44703,0.73258,0.821185,0.349237,0.732811,0.937745,0.465263,0.825615,0.971745,0.350389,0.83121,0.983573,0.453619,0.84183,0.919696,0.350315,0.843486,0.861033,0.51131,0.853174,0.972075,0.357344,0.858581,0.970611
14,0.379182,0.44348,0.998182,0.429573,0.485212,0.999915,0.325281,0.496778,0.999877,0.501302,0.475043,0.676049,0.265075,0.51756,0.967331,0.519032,0.425039,0.767217,0.288601,0.464081,0.971258,0.529619,0.405998,0.771621,0.296327,0.449343,0.954875,0.41669,0.642604,0.999927,0.358999,0.643075,0.999913,0.447893,0.732028,0.820618,0.348884,0.732961,0.934992,0.467798,0.821041,0.972544,0.350328,0.830936,0.983036,0.455994,0.838455,0.915679,0.350099,0.843539,0.852374,0.511446,0.852469,0.972754,0.357194,0.858297,0.969697
15,0.371057,0.443144,0.998327,0.420899,0.481171,0.999915,0.317736,0.498309,0.999849,0.488915,0.46076,0.705847,0.256883,0.516449,0.966166,0.503522,0.405808,0.790077,0.269356,0.463258,0.972758,0.512844,0.385659,0.793949,0.275701,0.446983,0.957483,0.415887,0.641018,0.999919,0.357771,0.643045,0.999901,0.449755,0.732053,0.830095,0.348016,0.73317,0.934516,0.471718,0.818988,0.974128,0.350266,0.830728,0.982981,0.461139,0.835167,0.91483,0.350133,0.843218,0.845413,0.511842,0.852969,0.974153,0.357229,0.859215,0.969439
16,0.368365,0.442908,0.998446,0.418593,0.479932,0.999916,0.317021,0.498715,0.999837,0.485187,0.459454,0.731994,0.25834,0.516283,0.965206,0.501459,0.405811,0.810666,0.26928,0.462708,0.974622,0.512185,0.383983,0.81411,0.274102,0.446692,0.960583,0.416164,0.640235,0.999914,0.357203,0.643092,0.999893,0.45072,0.732069,0.831334,0.347245,0.733295,0.932718,0.472466,0.819807,0.975111,0.349719,0.830834,0.982848,0.461981,0.835335,0.9128,0.349867,0.843334,0.839455,0.512668,0.853244,0.975068,0.357368,0.8597,0.96931
