frame,0_x,0_y,0_z,0_v,11_x,11_y,11_z,11_v,12_x,12_y,12_z,12_v,13_x,13_y,13_z,13_v,14_x,14_y,14_z,14_v,15_x,15_y,15_z,15_v,16_x,16_y,16_z,16_v,17_x,17_y,17_z,17_v,18_x,18_y,18_z,18_v,23_x,23_y,23_z,23_v,24_x,24_y,24_z,24_v,25_x,25_y,25_z,25_v,26_x,26_y,26_z,26_v,27_x,27_y,27_z,27_v,28_x,28_y,28_z,28_v,29_x,29_y,29_z,29_v,30_x,30_y,30_z,30_v,31_x,31_y,31_z,31_v,32_x,32_y,32_z,32_v
0,0.5339452624320984,0.2907887101173401,-0.0917787104845047,0.9999879598617554,0.6311607956886292,0.3516717553138733,-0.2255869358778,0.9999929666519165,0.5602933764457703,0.3635091483592987,0.274596244096756,0.9997668862342834,0.6957839131355286,0.4483560025691986,-0.4220895767211914,0.999128520488739,0.5294509530067444,0.4379451870918274,0.17653176188468933,0.6181178689002991,0.5905734300613403,0.45550668239593506,-0.5486127734184265,0.9961560368537903,0.47053205966949463,0.3805386424064636,-0.21267542243003845,0.9204915761947632,0.5645105242729187,0.45822426676750183,-0.5993212461471558,0.9885591864585876,0.44660112261772156,0.36611467599868774,-0.25720706582069397,0.8997688293457031,0.5860776901245117,0.5495584607124329,-0.17291457951068878,0.9994574189186096,0.5662006139755249,0.5531854033470154,0.1729317307472229,0.9990354776382446,0.5368102192878723,0.7064175009727478,-0.21785172820091248,0.9498242139816284,0.5901974439620972,0.7195346355438232,0.1628507673740387,0.6486900448799133,0.503886878490448,0.8829522132873535,-0.20904748141765594,0.985185444355011,0.6573778390884399,0.8774271011352539,0.18192338943481445,0.8780596852302551,0.5149086713790894,0.9175234436988831,-0.21686655282974243,0.971385657787323,0.6799287796020508,0.9063562154769897,0.17593766748905182,0.8955364227294922,0.4237711429595947,0.9161598682403564,-0.3644194006919861,0.9821130633354187,0.5924731492996216,0.9084843397140503,0.07288549840450287,0.8949570655822754
1,0.534098744392395,0.2901342809200287,0.02754671312868595,0.9999821782112122,0.5980367660522461,0.3452856242656708,-0.248483806848526,0.9999922513961792,0.5981943011283875,0.35491710901260376,0.3025192320346832,0.9997372627258301,0.5767597556114197,0.4423953890800476,-0.28406357765197754,0.9987134337425232,0.586327314376831,0.44644129276275635,0.4052428901195526,0.5592237114906311,0.49495089054107666,0.40089258551597595,-0.08515512198209763,0.9943084120750427,0.5387567281723022,0.44572827219963074,0.3690744638442993,0.8328804969787598,0.47294896841049194,0.39092913269996643,-0.10167241841554642,0.986057460308075,0.528354823589325,0.4470599591732025,0.37578344345092773,0.8162378072738647,0.5715203881263733,0.5503438711166382,-0.17649410665035248,0.9994651079177856,0.5911457538604736,0.5541595816612244,0.1765097826719284,0.9989789128303528,0.5341372489929199,0.7063027620315552,-0.19266709685325623,0.9516445994377136,0.5946656465530396,0.7144853472709656,0.18265849351882935,0.6494581699371338,0.5038813352584839,0.8838801383972168,-0.1851406991481781,0.9855555891990662,0.6580462455749512,0.8745851516723633,0.19588316977024078,0.878057599067688,0.5160800218582153,0.9175211787223816,-0.18782833218574524,0.9719099402427673,0.6798667311668396,0.9017838835716248,0.19320645928382874,0.8958965539932251,0.4214237332344055,0.9164553880691528,-0.28276845812797546,0.982135534286499,0.5923812389373779,0.9055899381637573,0.14513911306858063,0.892984926700592
2,0.53474360704422,0.2897234261035919,0.05472633242607117,0.9999802708625793,0.5929026007652283,0.34176701307296753,-0.2529268264770508,0.9999922513961792,0.6042481064796448,0.35154178738594055,0.31246593594551086,0.9997527599334717,0.5627744197845459,0.43474453687667847,-0.3467489182949066,0.9980920553207397,0.6066625714302063,0.45655757188796997,0.4059130549430847,0.5105199813842773,0.478408545255661,0.39111703634262085,-0.30226966738700867,0.9918491840362549,0.57584148645401,0.5083255171775818,0.35682839155197144,0.7568904757499695,0.45536893606185913,0.381480872631073,-0.33655092120170593,0.9829874634742737,0.5714250802993774,0.5227653384208679,0.36519739031791687,0.7434495687484741,0.5685561299324036,0.5498907566070557,-0.18047699332237244,0.9994940161705017,0.5971913933753967,0.5539544224739075,0.18034148216247559,0.9990085959434509,0.5321486592292786,0.706163227558136,-0.19534344971179962,0.953893780708313,0.59900963306427,0.711332380771637,0.1945701688528061,0.6503421068191528,0.5038822293281555,0.8838445544242859,-0.18888691067695618,0.9858639240264893,0.6586502194404602,0.8717385530471802,0.2107619047164917,0.8763623833656311,0.5168312191963196,0.9167007207870483,-0.19273483753204346,0.9719590544700623,0.6801568269729614,0.8995202779769897,0.2084437608718872,0.894611656665802,0.41974571347236633,0.9164831042289734,-0.3027869164943695,0.9819445610046387,0.592544674873352,0.9038949012756348,0.15486223995685577,0.890376091003418
3,0.5354200601577759,0.28972968459129333,0.07526223361492157,0.9999798536300659,0.592157244682312,0.3412270247936249,-0.24958011507987976,0.9999921321868896,0.6089604496955872,0.35208311676979065,0.3251599967479706,0.9997696876525879,0.5526737570762634,0.42551183700561523,-0.35605311393737793,0.9972851872444153,0.6131711006164551,0.4617282748222351,0.41361039876937866,0.470175564289093,0.4702002704143524,0.3840661644935608,-0.37308642268180847,0.988182008266449,0.5893877148628235,0.5222390294075012,0.3718346059322357,0.6902531981468201,0.4519267678260803,0.37534698843955994,-0.4120675027370453,0.978540301322937,0.5878098607063293,0.538754403591156,0.38300982117652893,0.6794745922088623,0.5665565133094788,0.5493113994598389,-0.182017982006073,0.9995265603065491,0.5996382832527161,0.5538482666015625,0.18178899586200714,0.999056339263916,0.5305988788604736,0.7065020203590393,-0.19717009365558624,0.9559847712516785,0.6018890738487244,0.7098690867424011,0.18957199156284332,0.6553941369056702,0.5038400888442993,0.8839238286018372,-0.1970227062702179,0.9861611127853394,0.6587859988212585,0.8686316013336182,0.20979583263397217,0.8755648732185364,0.5168514847755432,0.9163544178009033,-0.19972647726535797,0.972321093082428,0.6801625490188599,0.898298442363739,0.20684368908405304,0.8938553333282471,0.4190877676010132,0.916377067565918,-0.31681352853775024,0.9817914366722107,0.5927295088768005,0.9016627073287964,0.1341276317834854,0.8883044719696045
4,0.5370539426803589,0.2896938920021057,0.10023071616888046,0.9999793767929077,0.5857492685317993,0.33994346857070923,-0.24425646662712097,0.9999912977218628,0.6174673438072205,0.35138437151908875,0.3144944906234741,0.9997835755348206,0.5400390625,0.4195133149623871,-0.2905184030532837,0.9959070682525635,0.6151970028877258,0.4594353139400482,0.4117230474948883,0.4342430531978607,0.4653581380844116,0.37471964955329895,-0.15670810639858246,0.9754409790039062,0.5844600200653076,0.5051630735397339,0.4042651355266571,0.6282808780670166,0.45123162865638733,0.3660346269607544,-0.17731265723705292,0.9625178575515747,0.5802071690559387,0.5193806290626526,0.4173969328403473,0.6199454665184021,0.5644569396972656,0.5485262870788574,-0.181827113032341,0.9995570182800293,0.6046663522720337,0.5536307096481323,0.18166431784629822,0.999113142490387,0.5291863679885864,0.7079313397407532,-0.19948768615722656,0.9591338634490967,0.6059181094169617,0.7089943885803223,0.19091053307056427,0.6709681749343872,0.5037387609481812,0.8839258551597595,-0.20018352568149567,0.9867981672286987,0.6589860320091248,0.868455708026886,0.2048518806695938,0.8799561262130737,0.5168194770812988,0.9156824946403503,-0.2009122371673584,0.9733998775482178,0.6800520420074463,0.8982962369918823,0.201125368475914,0.8968346118927002,0.4175941050052643,0.9163649082183838,-0.31342440843582153,0.9815436005592346,0.5927237868309021,0.9008520245552063,0.13870278000831604,0.8872829675674438
5,0.5379465818405151,0.2906573414802551,0.12558405101299286,0.9999767541885376,0.579809308052063,0.33993712067604065,-0.204535573720932,0.9999881386756897,0.6217032074928284,0.35197728872299194,0.3151076138019562,0.9997968077659607,0.5247900485992432,0.4095628261566162,-0.33224520087242126,0.9888898134231567,0.6291314959526062,0.4616621732711792,0.4577171802520752,0.4024781584739685,0.46349841356277466,0.36887311935424805,-0.30168601870536804,0.9546696543693542,0.5919387936592102,0.5106786489486694,0.5083447694778442,0.5746074318885803,0.44886958599090576,0.361666738986969,-0.33866941928863525,0.9432815909385681,0.5851740837097168,0.5245847702026367,0.526197075843811,0.56887286901474,0.5631603002548218,0.5483902096748352,-0.1777406483888626,0.9995880126953125,0.6048929691314697,0.5536189079284668,0.17744627594947815,0.9991768002510071,0.529413640499115,0.7100998163223267,-0.2096063643693924,0.9611694812774658,0.6076291799545288,0.7088516354560852,0.14490129053592682,0.6823752522468567,0.5036958456039429,0.8835770487785339,-0.2267443984746933,0.987060546875,0.6591640710830688,0.8687706589698792,0.13441073894500732,0.8824324011802673,0.5168245434761047,0.9133977293968201,-0.23044277727603912,0.9732362031936646,0.6794998645782471,0.8984922170639038,0.12938477098941803,0.8970581293106079,0.4176042377948761,0.9163934588432312,-0.3447393774986267,0.9812279939651489,0.5920268893241882,0.9006859660148621,0.057237859815359116,0.8869163393974304
6,0.5384507179260254,0.29240062832832336,0.15890085697174072,0.999970018863678,0.5738388299942017,0.3391808867454529,-0.20932699739933014,0.9999808669090271,0.6332151293754578,0.3527596890926361,0.29401662945747375,0.9998019933700562,0.508690595626831,0.3977321684360504,-0.31347137689590454,0.9814295172691345,0.6248399615287781,0.4606333374977112,0.4195946156978607,0.37680405378341675,0.45336657762527466,0.35956013202667236,-0.23935894668102264,0.9238595366477966,0.5846430063247681,0.5072576403617859,0.46893593668937683,0.5245844721794128,0.4394311010837555,0.35185322165489197,-0.26262223720550537,0.9132134914398193,0.5846074223518372,0.5261712670326233,0.49119555950164795,0.5207873582839966,0.5611704587936401,0.548667311668396,-0.1759386658668518,0.9996099472045898,0.6088209748268127,0.554928719997406,0.17551855742931366,0.9992180466651917,0.5292602777481079,0.7124603390693665,-0.20631538331508636,0.9627984166145325,0.6110245585441589,0.7092344760894775,0.1721629649400711,0.6886535286903381,0.5035492777824402,0.8831758499145508,-0.2222541719675064,0.9870660901069641,0.6600980758666992,0.8689318299293518,0.1495113968849182,0.8831066489219666,0.5166654586791992,0.9119179248809814,-0.2272496521472931,0.9731579422950745,0.6794069409370422,0.8986900448799133,0.14834611117839813,0.8962092995643616,0.4161953628063202,0.9164016842842102,-0.3238653838634491,0.9799531102180481,0.5920292139053345,0.9001228213310242,0.10679160803556442,0.882382869720459
7,0.5398289561271667,0.29336386919021606,0.19144277274608612,0.9999626278877258,0.5713520050048828,0.3377864360809326,-0.20966963469982147,0.9999726414680481,0.6448875069618225,0.3556858003139496,0.27998730540275574,0.999799370765686,0.4977709949016571,0.3887028396129608,-0.23367170989513397,0.9784657955169678,0.6515173316001892,0.46463045477867126,0.4341224730014801,0.3520156145095825,0.4460526704788208,0.3525153696537018,-0.058908987790346146,0.8999103307723999,0.5858193635940552,0.49993595480918884,0.5251114964485168,0.47740766406059265,0.4308512210845947,0.3423609435558319,-0.06809281557798386,0.8878245949745178,0.5805381536483765,0.5169483423233032,0.5532111525535583,0.4753401577472687,0.559992790222168,0.5511937141418457,-0.17304573953151703,0.9996313452720642,0.6136887669563293,0.558381974697113,0.17252321541309357,0.999257504940033,0.5291902422904968,0.7142439484596252,-0.19974064826965332,0.9645598530769348,0.6143496036529541,0.7092710733413696,0.20419353246688843,0.6946507096290588,0.5035464763641357,0.8825492262840271,-0.21979044377803802,0.9872866868972778,0.6613553762435913,0.8689687848091125,0.2030147910118103,0.8837427496910095,0.5168424844741821,0.9106296896934509,-0.22629450261592865,0.9738954305648804,0.6794290542602539,0.8988091945648193,0.20278774201869965,0.8960050940513611,0.41566628217697144,0.9163897037506104,-0.30525705218315125,0.9790440797805786,0.5921124219894409,0.8999979496002197,0.16541895270347595,0.8763346672058105
8,0.5412881970405579,0.29333359003067017,0.20214933156967163,0.9999518394470215,0.5672171115875244,0.337679922580719,-0.21233732998371124,0.9999632835388184,0.65044766664505,0.3571103811264038,0.2573195695877075,0.9997948408126831,0.49176284670829773,0.3829886317253113,-0.16561119258403778,0.9781263470649719,0.6644631028175354,0.46482276916503906,0.4143385589122772,0.3321494162082672,0.4417073130607605,0.34493327140808105,0.10690158605575562,0.8877689242362976,0.5943282246589661,0.4966678023338318,0.499691903591156,0.4357859194278717,0.42704588174819946,0.33182579278945923,0.10982149839401245,0.8712167739868164,0.5823095440864563,0.5120953917503357,0.5277605056762695,0.43512457609176636,0.5596021413803101,0.5517853498458862,-0.16748321056365967,0.9996431469917297,0.6180578470230103,0.5586748719215393,0.1669205129146576,0.999285101890564,0.5292584300041199,0.7150415182113647,-0.18471863865852356,0.9666631817817688,0.6172003149986267,0.7095102667808533,0.209959477186203,0.7022433280944824,0.5035988688468933,0.8818572759628296,-0.20414577424526215,0.9875229597091675,0.6619969010353088,0.8690893054008484,0.21713675558567047,0.8849067091941833,0.5171759724617004,0.9100981950759888,-0.20533150434494019,0.974675178527832,0.67964106798172,0.8989479541778564,0.2173512876033783,0.8965839147567749,0.415554940700531,0.9163706302642822,-0.2733566462993622,0.9776864647865295,0.5924190282821655,0.8997871279716492,0.18265321850776672,0.8689993619918823
9,0.5423319339752197,0.2933817207813263,0.20676526427268982,0.9999406337738037,0.5613541007041931,0.33798593282699585,-0.21371987462043762,0.9999547600746155,0.6561080813407898,0.3577272593975067,0.24357359111309052,0.9997938275337219,0.48984551429748535,0.3742843270301819,-0.16090840101242065,0.9788285493850708,0.6843018531799316,0.46373793482780457,0.4339587092399597,0.3213731348514557,0.44217297434806824,0.34162962436676025,0.1183566227555275,0.8838391900062561,0.6022089719772339,0.49109888076782227,0.5926589369773865,0.39950063824653625,0.4261499047279358,0.3280350863933563,0.12581391632556915,0.8642347455024719,0.5977341532707214,0.5034093260765076,0.6311748623847961,0.3997892737388611,0.5580528378486633,0.554391622543335,-0.16171827912330627,0.9996522068977356,0.6187855005264282,0.5607084631919861,0.16113370656967163,0.9993091225624084,0.5291383862495422,0.7165612578392029,-0.1668679267168045,0.9683844447135925,0.6178209185600281,0.710187554359436,0.2071516066789627,0.7139195799827576,0.5035692453384399,0.8811888098716736,-0.18122942745685577,0.9875430464744568,0.6624451279640198,0.8692351579666138,0.21562185883522034,0.8870041370391846,0.5171436071395874,0.9093356728553772,-0.18039266765117645,0.9752899408340454,0.6797334551811218,0.8992645740509033,0.21614833176136017,0.8984018564224243,0.4155999422073364,0.9162498116493225,-0.24016140401363373,0.9754414558410645,0.5925602316856384,0.8995927572250366,0.18528620898723602,0.861044704914093
