stage,source,nose_x,nose_y,nose_z,nose_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_visibility,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,left_heel_x,left_heel_y,left_heel_z,left_heel_visibility,right_heel_x,right_heel_y,right_heel_z,right_heel_visibility,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_visibility,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_visibility
ready,GT1,0.3757725869744581,0.0667887163134907,-2.5912246969527475,0.9999964237213136,0.4266188742797293,0.1696214105230118,0.6694622279828978,0.999816119670868,0.1878235375563851,0.1872627511442887,-1.5761832344624953,0.9999805688858032,0.6162723790612816,0.1413153363663808,0.6318961966830741,0.9408619403839112,0.0,0.2691933879192935,-3.279996022290632,0.9996586441993712,0.7136104503932141,0.0330772150685807,-0.5535997852148659,0.9744935631752014,0.0895906012427195,0.161764564040819,-5.014777114734925,0.9991267323493958,0.7359766438639742,0.0,-0.7381562307198734,0.9599074721336364,0.1053885321708343,0.1275779228207179,-5.433629161592139,0.9956689476966858,0.4024447421042796,0.4821086046848927,0.9014236255856648,0.9995946288108826,0.275073560610274,0.4878343523768222,-0.9037623939332864,0.9996610879898072,0.5041063077693724,0.7099377270064388,1.0497413496502654,0.9561957716941832,0.2423405087792724,0.7236355680897398,-0.985677167087316,0.9961366653442384,0.5629693539673827,0.9105556884152654,2.079274046699404,0.9823105931282043,0.2204453087386723,0.9331712154415897,0.0622976183615844,0.99543035030365,0.5401879651398156,0.9601977649581428,2.100460558581488,0.9611483216285706,0.1978149983778895,0.9655665492082668,0.0908402331515657,0.9416349530220032,0.7012898932562124,0.9402368380322552,1.0560644004617987,0.9822040796279908,0.3081633955985145,1.0,-1.313878082213585,0.9900431036949158
ready,GT2,0.2071527785347796,0.2089437270616476,-3.082421079874581,0.999936580657959,0.31093393123414,0.2483297924769375,-0.4989622734097343,0.9995068311691284,0.1428480533704497,0.3265268186165473,-0.9775937187496524,0.9996768832206726,0.4022583645202173,0.1592067525460603,-0.5534298210009594,0.9317265152931212,0.0321759141060719,0.3941309946660531,-2.711175168972817,0.9973496794700624,0.4423381241512415,0.0349687060201825,-1.3014436357474413,0.9558826684951782,0.0131605686100928,0.2810207993519171,-5.485147316125485,0.9949352145195008,0.4574123042799516,0.0,-1.5281602798522431,0.9382713437080384,0.0,0.2559970900528804,-6.037384521583557,0.9804524183273317,0.3524497887821309,0.5562888306108995,0.1271885849656693,0.9995823502540588,0.2416760997069972,0.5708641544658681,-0.1287933490049048,0.9995878338813782,0.4325961696788329,0.7425138569593464,0.0714312938198051,0.972292423248291,0.2215087089002958,0.7629330568730577,-0.1394180006817573,0.9956961274147034,0.4732023245153291,0.9077056799620422,2.2399833637611812,0.9866211414337158,0.2161540504891889,0.9401514755990722,1.9387110914906056,0.9946902990341188,0.4590154143433084,0.932868001884122,2.3753549958059796,0.9371878504753112,0.2215715894610803,0.9632577867763786,2.068654464007754,0.9197185039520264,0.5282162747054339,0.9855521584498336,0.8895625291501503,0.9837214350700378,0.23558035716847,1.0,0.6014927418879492,0.9897415637969972
ready,GT3,0.4102322586334839,0.0437379381446533,-2.4087606825156684,0.9999542832374572,0.565856285050512,0.1524031744447472,-0.7507146917957283,0.9991217255592346,0.230676093661957,0.1938162779325686,-1.0712652992616205,0.9997869729995728,0.7854019067281007,0.1099015229157169,-0.922346077856954,0.8415202498435974,0.060889381570278,0.2470865203684901,-2.635593679266873,0.9938549995422364,0.9566002977893768,0.0283179350388317,-1.7506234518697974,0.8730264902114868,0.0130960689397104,0.1399077909120966,-4.952938380696314,0.9910189509391784,1.0,0.0,-1.9434745557522677,0.8611373901367188,0.0,0.1116327889469934,-5.460987857047674,0.982736349105835,0.5707992238583333,0.4666440517620658,-0.0293242859951678,0.9994805455207824,0.3602795402059521,0.4820752093335921,0.0277590907626136,0.999837040901184,0.6533736420091587,0.6630700099001693,0.5287266426144461,0.8652842044830322,0.3448450711524196,0.6812960582848719,-0.4014918084655444,0.9901399612426758,0.7992809668737351,0.841410396206041,2.390940942990874,0.9050617218017578,0.3097040888727407,0.8771590644819329,0.8806542417933353,0.990778148174286,0.8213206806059918,0.8571907117926,2.486044864107337,0.8514752984046936,0.3146714861704668,0.8961510528450366,0.9328060212054536,0.930304765701294,0.7904683580051332,0.9286585354872064,0.9421127414576008,0.9322285056114196,0.3144688467101617,0.9546296174186744,-0.5590479896620884,0.9872824549674988
ready,GT4,0.3835604882128536,0.0580144141204429,-2.4018381220516174,0.999920666217804,0.552511781668374,0.1569702128213985,-0.5358069696924621,0.999407172203064,0.2246001502143285,0.2121946023221483,-0.7622016395374397,0.9994074106216432,0.779704602175576,0.1115829815723173,-0.7436476583552698,0.9463275671005248,0.065613044277102,0.2733013055736386,-2.361767941164766,0.9956358075141908,0.9513866991474678,0.0340748753136682,-1.5830298453974962,0.9565072059631348,0.0225258422388301,0.1666486585161649,-4.825251837776368,0.9946211576461792,1.0,0.0436881076371645,-1.7812637600177033,0.9473921060562134,0.0512060657697391,0.1379120326770204,-5.326846456897764,0.9832570552825928,0.5568537545217163,0.4873598921228382,-0.056076048401325,0.9995511770248412,0.3497294854026642,0.5063896461376218,0.0547737888936454,0.9996859431266784,0.6520190472834614,0.6874752252215572,0.4439420426442433,0.9569782614707948,0.3395090481702974,0.7219401307217024,0.2385862168572041,0.9941611886024476,0.7754155729886033,0.8665430228731148,2.1819538147575286,0.9684447050094604,0.3480585027513383,0.9033214599956264,1.7637472587852052,0.9933645725250244,0.7950152709017553,0.8833008184800638,2.2560254842704786,0.8772914409637451,0.3647226105728323,0.9224048683300196,1.8424496988159416,0.9217503666877748,0.7547937188321183,0.9581600832293384,0.7523466040494966,0.9752762913703918,0.3285214015443976,0.972670793291848,0.4888637401475198,0.9893013834953308
ready,Average,0.3441795280888938,0.09437119891005863,-2.621061145348653,0.9999519884586334,0.4639802180581888,0.18183114756652374,-0.2790054267287567,0.9994629621505737,0.1964869587007801,0.22995011250388822,-1.096810973002802,0.9997129589319229,0.6459093131212938,0.13050164835011882,-0.39688184013252725,0.9151090681552887,0.039669584988362976,0.2959280521318688,-2.7471332029237723,0.9966247826814651,0.765983892870325,0.03260968286031578,-1.2971741795574,0.9399774819612503,0.0345932702578382,0.1873354532052494,-5.069528662333273,0.9949255138635635,0.7983472370359814,0.010922026909291125,-1.4977637065855218,0.9266770780086517,0.03914864948514335,0.15827995862440303,-5.5647119992802825,0.9855286926031113,0.470636877316615,0.498100344795174,0.23580296903871031,0.9995521754026413,0.30668967148147186,0.5117908405784761,-0.2375057158204831,0.999692976474762,0.5605237916852064,0.700749204771878,0.52346033218219,0.9376876652240753,0.2870508342505713,0.722451203492343,-0.32200018984435336,0.9940334856510162,0.6527170545862625,0.8815536968641158,2.223038042052247,0.9606095403432846,0.27359048771298505,0.9134508038795554,1.1613525526076827,0.9935658425092698,0.6538848327477178,0.9083893242787322,2.304471475691321,0.9067757278680801,0.2746951711455672,0.9368450642899254,1.2336876042951788,0.9283521473407745,0.6936920611997244,0.9531519037996584,0.9100215687797617,0.96835757791996,0.2966835002553859,0.9818251026776306,-0.19564239746005108,0.9890921264886856
backswing,GT1,0.2654555723087432,0.0319549425114275,-2.422471256485347,0.9999894499778748,0.2626843127831593,0.1841421036885588,3.1495079539299726,0.9998444318771362,0.1640378686149254,0.1331262983628485,-5.543587348885401,0.9999460577964784,0.3366465990992248,0.3011170827118674,9.009686329977807,0.7738780379295349,0.1173974450006805,0.1086751045098443,-11.228684956442432,0.9985811114311218,0.4785746424503915,0.2750483828297492,13.317781740678573,0.9373123049736024,0.0984279517451443,0.0004601109922591,-16.050127026646017,0.9989724159240724,0.5313102006923844,0.2615195400800703,14.407843556898872,0.9172144532203674,0.0737974238513706,0.0,-17.325375023184126,0.9966720938682556,0.2919362864744015,0.4652335518478263,2.66662316741452,0.9997804164886476,0.2595769438093293,0.4533701699577837,-2.6717711551761183,0.9997604489326476,0.3127511421431307,0.6966311211338073,1.9174406263482595,0.9248512983322144,0.2870916189806164,0.6984489591768189,-3.4001047503565327,0.9949260354042052,0.3152241264062849,0.9220389712922707,3.6494097591352466,0.9779847860336304,0.028511038454761,0.8764300494615769,-2.183801192396696,0.9961774349212646,0.281693248177409,0.9682228781619092,3.6898484400697273,0.9566941857337952,0.0,0.8999944099990457,-2.130270679073373,0.9599044919013976,0.4172820318168477,0.9723104835975088,1.90060629330239,0.9805224537849426,0.0319419843027854,1.0,-3.3938255168766207,0.9935512542724608
backswing,GT2,0.2635855016078842,0.041832783359864,-2.4589275578742567,0.9999780654907228,0.3617188459296248,0.1511530775468123,0.9997966480405042,0.9997104406356812,0.1500532919313748,0.1628690749715426,-1.2058731093474646,0.9998226165771484,0.5019008930477675,0.2098493555741645,1.4856671211372183,0.9757169485092164,0.0,0.1516971281539586,-3.524137556307111,0.9987353682518004,0.6650485960466072,0.1958602927267437,0.3831068938650064,0.9870397448539734,0.0017621321418655,0.0275310072202685,-5.800783486679632,0.9975194334983826,0.7144173341755321,0.1887630906775901,0.2448324594280849,0.9760909080505372,0.0023886649417079,0.0,-6.360476527635195,0.9894018173217772,0.3707551745995223,0.4917342195594386,0.8984944247335175,0.999805212020874,0.2676141310179505,0.4962255927379165,-0.8999358860621538,0.9997871518135072,0.4063748986430054,0.7037206451891241,1.2061791110651168,0.9708105325698853,0.2273898541233629,0.7072173923624671,-0.7633523088381926,0.9974550008773804,0.3370398696656906,0.922472408220066,2.5213217402402437,0.9900651574134828,0.095582964502651,0.9019996780912914,0.7011338348925468,0.9966624975204468,0.3049446864598117,0.9618475955853152,2.572976428270428,0.9682711362838744,0.0770880093984068,0.9207449144508248,0.7862288113495416,0.9526765942573548,0.4413758333950969,0.9828791028149864,1.479224533414863,0.9886780977249146,0.1110735074664014,1.0,-0.4679487034332963,0.9935463666915894
backswing,GT3,0.357481070947066,0.0280957204770716,-1.4546124076524922,0.9999687075614928,0.3728270621529503,0.1743570271906822,2.9775400665275864,0.9996342062950134,0.2048583254453901,0.1160153470430003,-2.1818995610801624,0.9997720718383788,0.3995701748942467,0.3252045291756349,4.551294710732428,0.8245248198509216,0.0466697927649283,0.0,-5.561643994659482,0.9973598718643188,0.5515916032893451,0.3928753791177832,4.0266561286639,0.8984466195106506,0.0640515013036374,0.0184244699868272,-8.074509522738861,0.9870233535766602,0.61927792079777,0.4174212931343247,4.069119902030621,0.8774389624595642,0.0341143979964428,0.0301775311574014,-8.843677977072678,0.9602712392807008,0.3781692501936385,0.4786374657988907,1.8430251560163464,0.9997137188911438,0.2293841316257717,0.4593963083126475,-1.846621418929282,0.9998527765274048,0.4164259861795439,0.6922968983260567,2.2328598122118213,0.9560458064079284,0.2255264587260677,0.6856656433118584,-3.427356337943896,0.9961714148521424,0.363512370000519,0.9035451228814616,3.334724775231033,0.9778395891189576,0.0568560513419258,0.914745744454893,-2.655193578496899,0.995703399181366,0.3183216477932454,0.9442272970001028,3.3237778420876087,0.9320454001426696,0.0,0.9399733450523864,-2.647287750075941,0.9438140392303468,0.5410929617438208,0.9758588412577902,1.7086093711407653,0.9803465008735656,0.0758767032033267,1.0,-4.8522830053275525,0.9933021664619446
backswing,GT4,0.3826498000055051,0.0119820352762582,-0.7086474071558615,0.999967634677887,0.3952031644608784,0.1619277687649913,3.425206405641526,0.9996621608734132,0.2070671337163407,0.1019090528540008,-1.7942655272460524,0.999755084514618,0.4243457678986272,0.3095141990592851,4.633904300320026,0.8604417443275452,0.0824575067415867,0.0117225524444095,-5.977669692298459,0.9979533553123474,0.5424900048302694,0.3801416779235217,4.133358553115266,0.9247349500656128,0.1158449948798363,0.0093183919257002,-8.09990784584407,0.9906128644943236,0.6080439764693066,0.4065814648710967,4.175076355374263,0.9007156491279602,0.0826615714688879,0.0194251920899149,-8.83193065325941,0.9702141284942628,0.3865548804949195,0.4680734031756142,1.702049525442867,0.9997469186782836,0.2292219518205521,0.4466826565088937,-1.704023644375394,0.9998444318771362,0.4064999951521613,0.686559051588357,1.2016626040310427,0.9715477228164672,0.2280779269574515,0.6784319916229348,-3.7870066192377454,0.9964963793754578,0.3532327243038032,0.9112133632723708,1.9220524106561192,0.9838728308677672,0.0484057020213795,0.90892140924654,-3.208500803202156,0.995934784412384,0.3080343393563879,0.9495479894711452,1.8669896171354945,0.9394402503967284,0.1860262478919381,0.9366556016646111,-3.232460102434834,0.9469314813613892,0.5109817862470135,0.9825002783440278,0.1998352634620837,0.9854693412780762,0.0526046461295734,1.0,-5.455439940674759,0.9934223890304564
backswing,Average,0.3172929862172996,0.028466370406155322,-1.7611646572919892,0.9999759644269943,0.3481083463316532,0.16789499429776114,2.6380127685348973,0.999712809920311,0.18150415492700772,0.12847994330784804,-2.6814063866397704,0.9998239576816559,0.41561585873496654,0.286421291630238,4.92013811554187,0.8586403876543045,0.061631186126798874,0.06802369627705311,-6.5730340499268705,0.9981574267148972,0.5594262116541533,0.3109814331494495,5.465225829080686,0.9368834048509598,0.07002164501762087,0.013933495031263751,-9.506331970477145,0.9935320168733597,0.6182623580337483,0.3185713471907704,5.72421806843296,0.9178649932146072,0.04824051456460231,0.012400680811829075,-10.340365045287854,0.9791398197412491,0.35685389794062045,0.47591966009544245,1.7775480684018126,0.9997615665197372,0.2464492895684009,0.46391868187931035,-1.7805880261357372,0.999811202287674,0.38551300552946033,0.6948019290593362,1.63953553841406,0.9558138400316238,0.24202146469687463,0.6924409966185198,-2.8444550040940917,0.9962622076272964,0.3422522725940744,0.9148174664165424,2.8568771713156607,0.9824405908584595,0.05733893908017933,0.9005242203135753,-1.8365904348008009,0.9961195290088654,0.3032484804467135,0.9559614400546181,2.8633980818908147,0.949112743139267,0.06577856432258623,0.924342067791717,-1.8059474300586515,0.9508316516876221,0.47768315330069466,0.9783871765035783,1.3220688653300254,0.9837540984153748,0.06787421027552173,1.0,-3.5423742915780574,0.9934555441141129
